/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
Fri Jul 15 01:55:36 +0000 2016;marcelo87794708;RT @exercitooficial: Helicópteros da Aviação do Exército sobrevoam Parque Olímpico da Barra #Rio2016 #Jogosseguros https://t.co/aOavrjGdTa;
Fri Jul 15 01:53:41 +0000 2016;ertz;E rotina se repete no Lins de Vasconcelos.  Muitos tiros disparados neste momento 22h50#lins #linsdevasconcelos #upp #riodejaneiro #Rio2016;
Fri Jul 15 01:53:34 +0000 2016;XxZeMiguelxX;RT @Sporting_CP: Ricardo Esgaio, Carlos Mané e Tobias Figueiredo foram convocados para representar a Selecção Nacional no @Rio2016. Parabén…;
Fri Jul 15 01:53:34 +0000 2016;ruipbessa;RT @FCPorto: ⚽ 4 dragões convocados para os Jogos Olímpicos #Rio2016 
➡ https://t.co/1aa93y9IGT https://t.co/XQt5WxLsD6;
Fri Jul 15 01:53:17 +0000 2016;_niltinhocesar;Se as ações #terroristas obtêm êxito em território europeu! Imaginem no #Brasil ? Alguém dúvida que #Rio2016 será uma #vergonha e um #caus?;
Fri Jul 15 01:52:46 +0000 2016;markesrunning;Olha quem já foi colado em nosso álbum Rio 2016 yohanssonf #rio2016🇧🇷 #olimpiadas2016… https://t.co/fbeYvAY8T1;
Fri Jul 15 01:52:21 +0000 2016;arteecidadania;Nesse momento, @fhollande faz pronunciamento a respeito dos atentados em #Nice. Em semanas, começa a #Rio2016. https://t.co/0tJUXT1bGN;
Fri Jul 15 01:51:51 +0000 2016;NACILIA;RT @PtFora: #PrayForNice  França que esta preparada para atentado não conseguiu segurar os terrorista #Rio2016 Torre Eiffel https://t.co/9x…;
Fri Jul 15 01:51:41 +0000 2016;jcsdaniel;RT @zecalins1405: #Frankstemer  vai inaugurar a vaia olímpica internacional na Rio2016.;
Fri Jul 15 01:50:37 +0000 2016;_LeticiaaMachad;RT @CocaCola_Br: Olha @WhoIsCarlos com #TochaOlímpica #Rio2016 Belo momento do #DeCaronaComATocha #IssoÉOuro https://t.co/mYj1MIdv3b https:…;
Fri Jul 15 01:50:36 +0000 2016;zecalins1405;#Frankstemer  vai inaugurar a vaia olímpica internacional na Rio2016.;
Fri Jul 15 01:50:10 +0000 2016;piroloco;Faltam 23 dias para as olimpíadas #Rio2016
Mais uma forma de ataque terrorista. Lamentável... https://t.co/QbVbdNVBb2;
Fri Jul 15 01:49:39 +0000 2016;sallsantana;RT @_UrubuNews_: Gávea amanheceu mais bonita nesta quinta-feira c/ a Myrtha, a nova piscina do @Flamengo, que será usada no @Rio2016. https…;
Fri Jul 15 01:48:37 +0000 2016;Hugo_Maia09;RT @exercitooficial: Helicópteros da Aviação do Exército sobrevoam Parque Olímpico da Barra #Rio2016 #Jogosseguros https://t.co/aOavrjGdTa;
Fri Jul 15 01:48:17 +0/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
000 2016;KatiaAbdul1;RT @_UrubuNews_: Gávea amanheceu mais bonita nesta quinta-feira c/ a Myrtha, a nova piscina do @Flamengo, que será usada no @Rio2016. https…;
Fri Jul 15 01:46:23 +0000 2016;Gutembergfilho6;@lbertozzi @FCFSeleccionCol @rio2016_es em um torneio fraco como esse da olimpíada,a Colômbia já é um dos favoritos!;
Fri Jul 15 01:45:29 +0000 2016;FraanTerenzi;RT @JogosOlimpicos: Faltam 22 dias, 2 horas e 22 minutos para os Jogos @Rio2016! 😍😍 #RumoAoRio #ChegaLogo! https://t.co/YpUoTjZ1nY;
Fri Jul 15 01:45:00 +0000 2016;DecaRGarcia;RT @SouCalmo: Cancelem o #Rio2016... A polícia ñ dá conta de traficante, akeles q o piçol defende, imagina contra jihadista. https://t.co/f…;
Fri Jul 15 01:42:43 +0000 2016;azeredo_mg;O RIO OLIMPICO- @Rio2016 @riodejaneiro_hj @eduardopaes_ @MichelTemer @ronaldocaiado @MagnoMaltaOfc https://t.co/zZZXPNWaEq;
Fri Jul 15 01:41:55 +0000 2016;Dorivalbjr;REVISTA VÍDEOS CURIOSOS: Motociclistas Militares em Ação nos Jogos #Rio2016... https://t.co/nQTNZQUqQ5;
Fri Jul 15 01:39:44 +0000 2016;whofaellw;RT @deleo__: Loja "rio 2016" já tem mas e hospital? Tem?  https://t.co/Z1MTvhx555;
Fri Jul 15 01:38:33 +0000 2016;thalescmachado;Um filme é sobre o Rio convidativo ao esporte, o outro discute "a beleza" carioca. Passa na véspera da @Rio2016. https://t.co/Oj1y0pdmel;
