/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
Thu Jul 28 02:59:46 +0000 2016;ValmirGuilherm1;RT @policiafederal: Nós vamos contar para você as nossas atividades nos Jogos! Fique ligado!
#Rio2016 #JogosSeguros https://t.co/Rh0n3QH3nI;
Thu Jul 28 02:59:45 +0000 2016;nikicth;RT @policiafederal: Nós vamos contar para você as nossas atividades nos Jogos! Fique ligado!
#Rio2016 #JogosSeguros https://t.co/Rh0n3QH3nI;
Thu Jul 28 02:59:22 +0000 2016;LOQUILLOPANAMA;RT @OperacoesRio: #RIO2016 | MUDANÇA NO TRÁFEGO-FAIXAS OLÍMPICAS - Começou dia 25/07. https://t.co/IaX8bTPkoE https://t.co/HPwIjM8JPw;
Thu Jul 28 02:59:21 +0000 2016;grazisccprmfc;RT @Corinthians: História de superação, é Timão e tem foto com o Perdigão! Pra porta-bandeira no #Rio2016! 
https://t.co/Zyl7e5CsVi https:/…;
Thu Jul 28 02:59:18 +0000 2016;OlympicRio016;RT @SouCalmo: Mundo inteiro olhando pra cá, por causa do #Rio2016 e nós na rua pra derrubar a bandida comunista.. #31JulhoPeloBra/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
sil e pro…;
Thu Jul 28 02:59:15 +0000 2016;MalevolaDoGolpe;RT @Rivotripa: Só falta a delegação de Cuba chegar e reclamar do sinal do wi-fi. Aí é pra acabar de vez.
#Rio2016;
Thu Jul 28 02:59:12 +0000 2016;DaniloZorza;RT @PanichiRaphael: 05. Cada vez pior o #Rio2016 ! A população de Angra enfurecida com a passagem da Tocha! O povo está enfurecido! https:/…;
Thu Jul 28 02:59:10 +0000 2016;PEPPECONSENTINI;#nofilter #rio2016 @ Parque Olímpico Rio 2016 https://t.co/dWmTAZjOpy;
Thu Jul 28 02:59:03 +0000 2016;pmvits;@CorreiosBR @Rio2016  me orgulho dos serviços dos Correios. Não confundam com os petistas sanguessugas responsáveis pela roubalheira na Cia;
Thu Jul 28 02:58:40 +0000 2016;UaiGabriele;@timebrasil Transmiti o show da Ivete amanha no Cristo , POR FAVOR .. pode ser pelo Periscope , PF @Rio2016 #Rio2016;
Thu Jul 28 02:58:36 +0000 2016;SouCalmo;Mundo inteiro olhando pra cá, por causa do #Rio2016 e nós na rua pra derrubar a bandida comunista.. #31JulhoPeloBrasil e pro planeta ver!!;
Thu Jul 28 02:58:22 +0000 2016;Embarque;#Dicas para curtir o #RiodeJaneiro nas #OlimpíadasnoRio #Rio2016 As 5 melhores trilhas no Rio e arredores | https://t.co/gjqomzUvb3;
Thu Jul 28 02:58:18 +0000 2016;NeguebaSouza7;RT @Flamengo: Outro pra você, @neymarjr! Boa sorte nos Jogos #Rio2016;
Thu Jul 28 02:58:11 +0000 2016;PEPPECONSENTINI;#rio2016 #nofilter @ Parque Olímpico Rio 2016 https://t.co/T0FIXvaww3;
Thu Jul 28 02:57:58 +0000 2016;irmaocabelao;@CorreiosBR @Rio2016 O que estraga na empresa não são os operadores ou agentes, estraga é o modelo de indicação para os cargos de chefia;
Thu Jul 28 02:57:27 +0000 2016;pqpkelz;RT @elderc: Os carteiros vão participar de alguma modalidade na #Rio2016? https://t.co/04NyRaU0XC;
Thu Jul 28 02:57:11 +0000 2016;PEPPECONSENTINI;#nofilter #rio2016 @ Parque Olímpico Rio 2016 https://t.co/WxRsm8QJvK;
