/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
Sun May 15 01:39:17 +0000 2016;gabelfaria;RT @Rio2016: Fechamos o revezamento de hoje com ela: a Musa da elegância Sandra Annenberg e a @ChamaOlimpica. #ChamaElegante 🎩👒🔥 https://t.…;
Sun May 15 01:38:14 +0000 2016;AndCamps;RT @rodrigoaffranco: Campeão olímpico de vôlei Nalbert leva a @ChamaOlimpica no @Mineirao  #chamaolimpica #rumoaorio #rio2016 #bh #mg https…;
Sun May 15 01:36:09 +0000 2016;GuiFaquini;Sandra é muito rainha, né?  Que orgulho dessa mulher que amamos tanto! 💕 https://t.co/vXcZOJnrCl;
Sun May 15 01:36:09 +0000 2016;fofaodaopressao;Vem gringaiada! Alem de zica e roubo, agora temos pulga! #LegadoOlimpico #RioOlympics2016 #Rio2016 #TochaOlimpica  https://t.co/wNOrKxkot1;
Sun May 15 01:31:14 +0000 2016;LudymilaCampos;RT @Nissan_Oficial: Hoje a Terezinha Guilhermina levou o ouro em mais uma prova: a condução da @ChamaOlimpica! #QuemSeAtreve #Rio2016
https…;
Sun May 15 01:27:26 +0000 2016;Dasilva20117;#Rio2016 @paulafernandes7 Linda!
#fernandesdovalle @ Belo Horizonte, Minas Gerais. https://t.co/cJ7MS9TIAW;
Sun May 15 01:26:47 +0000 2016;FigueiraJhony;RT @Rio2016: Fechamos o revezamento de hoje com ela: a Musa da elegância Sandra Annenberg e a @ChamaOlimpica. #ChamaElegante 🎩👒🔥 https://t.…;
Sun May 15 01:26:34 +0000 2016;mendoncito_oX;RT @Rio2016: 🔥Incentivar e inspirar é a vida do professor/psicólogo Marcelo Melo que atua com pessoas com deficiência desde 2000🔥 https://t…;
Sun May 15 01:26:27 +0000 2016;wandererdorothy;Falso cadeirante no revezamento da tocha? Atletas comentam episódio que viralizou nas redes sociais  https://t.co/rV7Bx3kfFq;
