/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
Tue May 10 02:36:01 +0000 2016;adri_remendes;RT @PassageiroRJ: Realidade do transporte público na #CidadeOlímpica.

#ImobilidadeRJ, largado do #Rio2016. 

Tue May 10 00:38:55 +0000 2016;BOGOTASINMIEDO;RT @Rio2016: Seu Chico da Onça trabalha numa cooperativa de extrativismo sustentável da favela e contou como foi participar (2/3) https://t…;
Tue May 10 00:38:44 +0000 2016;Rio2016;Seu Chico da Onça trabalha numa cooperativa de extrativismo sustentável da favela e contou como foi participar (2/3) https://t.co/JcAyiMY3gG;
Tue May 10 00:35:12 +0000 2016;fimdejogo;rubens, presidente da ferj, agradecendo ao prefeito e a rio2016 pela ajuda em relação ao maracanã;
Tue May 10 00:33:53 +0000 2016;thiagofranca_mg;Hoje foi dia de cobertura ao vivo no revezamento da tocha olímpica em Montes Claros. #intertv #globo #Rio2016 https://t.co/iCBDnrsyEt;
Tue May 10 00:26:05 +0000 2016;SeuEsporteBR;Em duelo entre representantes do Brasil em #Rio2016, Alison/Bruno bateram Evandro/Pedro na final do #Superpraia https://t.co/oRmNKvShMQ;
Tue May 10 00:20:47 +0000 2016;gimont_;RT @capoeirACDP: O mundo está pedindo a #Capoeira nas #Olimpiadas 
Se você também apoia essa idea, compartilha!
#Rio2016 #JJOO https://t.co…;
Tue May 10 00:20:03 +0000 2016;jf4298953;RT @dilmabr: Inaugurei hj o Estádio Aquático Olímpico, no RJ, q será palco das competições de natação e pólo aquático do @Rio2016 https://t…;
Tue May 10 00:18:24 +0000 2016;brunnocosta_rie;Falem a verdade, ta bonito pra kct!
#handebol #handball #Rio2016 #olympics https://t.co/2YDqrBZ8bA;
Tue May 10 00:11:36 +0000 2016;martinchab1997;RT @Rio2016: Francisco Correia da Mota é agricultor da comunidade quilombola da "Onça". Seu Chico da Onça, como é conhecido (1/3) https://t…;
Tue May 10 00:11:20 +0000 2016;Rio2016HQ;Francisco Correia da Mota é agricultor da comunidade quilombola da "Onça". Seu Chico da Onça, como é conhecido (1/… https://t.co/8c6dGZTaeG;
Tue May 10 00:09:19 +0000 2016;MariaFontes59;RT @Rio2016: Francisco Correia da Mota é agricultor da comunidade quilombola da "Onça". Seu Chico da Onça, como é conhecido (1/3) https://t…;
Tue May 10 00:08:30 +0000 2016;martinchab1997;RT @Rio2016: A nadadora Ellen Prates, de 17 anos, quer representar o Brasil numa edição de @JogosOlimpicos - "Meu maior sonho"🏊🇧🇷 https://t…;
Tue May 10 00:05:43 +0000 2016;cabreira;@mazaccaron  Imprensa mundial DETONANDO o Brasil. Exigem retirada das competições da Baía da Guanabara #rio2016  Vergonha! Mais uma!;
Tue May 10 00:00:38 +0000 2016;elyoda1;RT @Rio2016: Francisco Correia da Mota é agricultor da comunidade quilombola da "Onça". Seu Chico da Onça, como é conhecido (1/3) https://t…;
Tue May 10 00:00:07 +0000 2016;flacastrequini;RT @Leonardofdebrit: @flacastrequini @_anamonts eu voto p Flávia e Ana dupla d ataque da seleção feminina de volei p as olimpíadas rio2016;
Mon May 09 23:59:52 +0000 2016;Nilion_Cesar;Rivaldo faz campanha contra Rio-2016: 'Fiquem em seus países' https://t.co/rPu9xL0uHH;
Mon May 09 23:59:32 +0000 2016;Ines_Arruda;RT @Rio2016: Francisco Correia da Mota é agricultor da comunidade quilombola da "Onça". Seu Chico da Onça, como é conhecido (1/3) https://t…;
Mon May 09 23:59:26 +0000 2016;Ines_Arruda;RT @Rio2016: Emocionante o momento da passagem da @ChamaOlimpica para o ambientalista José de Assis, que foi ovacionado. 👏👏👏👏 https://t.co/…;
Mon May 09 23:59:21 +0000 2016;Ines_Arruda;RT @Rio2016: O condutor José de Assis é ambientalista, promove o consumo consciente e deu a dica. Boa, José! #Sustentabilidade https://t.co…;
Mon May 09 23:59:15 +0000 2016;Ines_Arruda;RT @Rio2016: A nadadora Ellen Prates, de 17 anos, quer representar o Brasil numa edição de @JogosOlimpicos - "Meu maior sonho"🏊🇧🇷 https://t…;
Mon May 09 23:58:57 +0000 2016;guerrapedro;RT @pedrinhofonseca: Confirmado: Marcelo D2 vai acender a pira olímpica. #Rio2016;
Mon May 09 23:58:41 +0000 2016;canteiro_hugo;RT @Rio2016: Francisco Correia da Mota é agricultor da comunidade quilombola da "Onça". Seu Chico da Onça, como é conhecido (1/3) https://t…;
Mon May 09 23:58:15 +0000 2016;ArajoDarcy;RT @Rio2016: Francisco Correia da Mota é agricultor da comunidade quilombola da "Onça". Seu Chico da Onça, como é conhecido (1/3) https://t…;
Mon May 09 23:58:03 +0000 2016;Rio2016;Francisco Correia da Mota é agricultor da comunidade quilombola da "Onça". Seu Chico da Onça, como é conhecido (1/3) https://t.co/4CQfXMpkAm;
Mon May 09 23:58:01 +0000 2016;pedrinhofonseca;Confirmado: Marcelo D2 vai acender a pira olímpica. #Rio2016;
Mon May 09 23:55:56 +0000 2016;TonLopesLocutor;RT @FlaviaDelaroliC: Post 3, sobre a seleção feminina! Guenta ❤️! #espnw #natacao #natacaobrasileira #espnwbrasil #espn #rio2016 https://t.…;
Mon May 09 23:51:35 +0000 2016;_anamonts;RT @Leonardofdebrit: @flacastrequini @_anamonts eu voto p Flávia e Ana dupla d ataque da seleção feminina de volei p as olimpíadas rio2016;
Mon May 09 23:47:59 +0000 2016;AndersonCunha40;#meta continua perder 33 kg e já percorri metade desse caminho 16,5 kq #foco #cocacola #tochaolímpica #rio2016 https://t.co/HfWG7Pe6YB;
