/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
Thu May 26 01:10:20 +0000 2016;ValeeeeBs;RT @danielamercury: O show de ontem no Farol da barra.Cantando samba reggae e afirmando a nossa bela negritude. #Rio2016 #chamaolimpica htt…;
Thu May 26 01:08:00 +0000 2016;LalazinhaFerry;RT @danielamercury: O show de ontem no Farol da barra.Cantando samba reggae e afirmando a nossa bela negritude. #Rio2016 #chamaolimpica htt…;
Thu May 26 01:07:06 +0000 2016;2db6e48e4d1741d;RT @CocaCola_Br: Quer saber tudo da viagem do Urso e seus amigos atrás da #TochaOlímpica #Rio2016? Dê RT e receba conteúdos em 1ª mão! #Con…;
Thu May 26 01:04:55 +0000 2016;lahcarneiro_;RT @CocaCola_Br: Quer saber tudo da viagem do Urso e seus amigos atrás da #TochaOlímpica #Rio2016? Dê RT e receba conteúdos em 1ª mão! #Con…;
Thu May 26 01:04:04 +0000 2016;P_Sofia_P;RT @danielamercury: O show de ontem no Farol da barra.Cantando samba reggae e afirmando a nossa bela negritude. #Rio2016 #chamaolimpica htt…;
Thu May 26 01:02:20 +0000 2016;aarrio2016;Convocação da Argentina para a @Rio2016 https://t.co/wgQmAKRfhn;
Thu May 26 00:54:13 +0000 2016;luizatrajano;E olha que bacana a festa e a diversidade cultural na passagem da Tocha da #Rio2016 pela Bahia! Faltam 72 dias! https://t.co/zVWsMBqDUp;
Thu May 26 00:53:50 +0000 2016;cassia1995;RT @danielamercury: Assistir no #Periscope: Daniela Mercury e J QuestShow da Tocha, em Salvador! #chamaolimpica #rio2016 https://t.co/3Xx3Z…;
Thu May 26 00:53:47 +0000 2016;cassia1995;RT @danielamercury: Assistir no #Periscope: Show da Tocha, em Salvador. #chamaolimpica #rio2016 https://t.co/Ijyhq21Y7s;
Thu May 26 00:53:44 +0000 2016;cassia1995;RT @danielamercury: Assistir no #Periscope: Show da Tocha Olímpica no Farol da Barra, em Salvador. #chamaolimpica #rio2016 https://t.co/8f0…;
Thu May 26 00:53:41 +0000 2016;cassia1995;RT @danielamercury: Assistir no #Periscope: Daniela Mercury carregando a Tocha Olímpica, em Salvador. #ChamaOlimpica #Rio2016 #danielam… ht…;
Thu May 26 00:53:37 +0000 2016;cassia1995;RT @danielamercury: O show de ontem no Farol da barra.Cantando samba reggae e afirmando a nossa bela negritude. #Rio2016 #chamaolimpica htt…;
Thu May 26 00:53:18 +0000 2016;pgamafilho;RT @SporTV: Vamos conhecer um pouco mais da nossa representante na luta olímpica? Fala, Aline Silva! #Rio2016noSporTV #Rio2016
https://t.co…;
Thu May 26 00:52:08 +0000 2016;PaulinhoGoetze;RT @danielamercury: O show de ontem no Farol da barra.Cantando samba reggae e afirmando a nossa bela negritude. #Rio2016 #chamaolimpica htt…;
Thu May 26 00:51:21 +0000 2016;eitaviih;RT @Jujuca1987: A "geração espontânea" de 2016! #roadtorio #rio2016 https://t.co/DRBqXSrPN3;
Thu May 26 00:50:16 +0000 2016;roberts_beatriz;RT @danielamercury: O show de ontem no Farol da barra.Cantando samba reggae e afirmando a nossa bela negritude. #Rio2016 #chamaolimpica htt…;
Thu May 26 00:49:48 +0000 2016;HRodrigues91;Honrado por fazer parte dessa história! #arrepia #ayrtonsenna #institutoayrtonsenna #rio2016 https://t.co/YfuMSCeVMT;
Thu May 26 00:49:23 +0000 2016;tania7lopes;RT @danielamercury: O show de ontem no Farol da barra.Cantando samba reggae e afirmando a nossa bela negritude. #Rio2016 #chamaolimpica htt…;
Thu May 26 00:47:38 +0000 2016;AldineaCarvalho;RT @danielamercury: O show de ontem no Farol da barra.Cantando samba reggae e afirmando a nossa bela negritude. #Rio2016 #chamaolimpica htt…;
Thu May 26 00:47:38 +0000 2016;suzanaoliveiira;RT @danielamercury: O show de ontem no Farol da barra.Cantando samba reggae e afirmando a nossa bela negritude. #Rio2016 #chamaolimpica htt…;
Thu May 26 00:46:55 +0000 2016;cdjmacae;Nova versão de ‘Vida do viajante’ é escolhida como tema do revezamento da Tocha Olímpica -&gt; https://t.co/Y6p77VNZ0Q @Rio2016;
Thu May 26 00:46:50 +0000 2016;oicaramelo;RT @danielamercury: O show de ontem no Farol da barra.Cantando samba reggae e afirmando a nossa bela negritude. #Rio2016 #chamaolimpica htt…;
Thu May 26 00:45:55 +0000 2016;levenir21;Situação econômica afeta venda de produtos da Rio 2016, diz comitê #G1 https://t.co/cNNcCKDWLe;
Thu May 26 00:45:49 +0000 2016;danielamercury;O show de ontem no Farol da barra.Cantando samba reggae e afirmando a nossa bela negritude. #Rio2016 #chamaolimpica https://t.co/MzuPlwHRQx;
Thu May 26 00:43:28 +0000 2016;zitameireles;Metrô Rio terá esquema especial de funcionamento durante Olimpíadas: Linha 4 começa a operar dia 1º de agosto... https://t.co/YA7Xb6S2Ew;
Thu May 26 00:43:27 +0000 2016;laurakelyn;Metrô Rio terá esquema especial de funcionamento durante Olimpíadas: Linha 4 começa a operar dia 1º de agosto... https://t.co/T6VDUNTu8P;
Thu May 26 00:43:26 +0000 2016;claudineteabner;Metrô Rio terá esquema especial de funcionamento durante Olimpíadas: Linha 4 começa a operar dia 1º de agosto... https://t.co/ZGw925NBMU;
Thu May 26 00:43:14 +0000 2016;jun/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
inhodesonei;@OlympicFlame @runDisney @Rio2016 
Uma festa linda! Digna de toda história da chama olímpica! #Olympicflames #Rio2016  #OlympicGames;
Thu May 26 00:42:32 +0000 2016;Janianecastro13;RT @SeuEsporteBR: Faltam 72 dias para os Jogos Olímpicos Rio 2016! @YanePentatlo! #Rio2016 #RoadToRio https://t.co/ppLt7UP5rW;
Thu May 26 00:41:28 +0000 2016;Jhonathaphoto;RIO 2016✌
Olimpíadas 

#rio2016 #rio2016olympics #voluntariorio2016 https://t.co/ctHWI5FFSf;
Thu May 26 00:40:03 +0000 2016;brunasssz;CupcakePop no #DiaDaToalha traz os Mascotes #Rio2016 que viram Lego e Fones traduzem diferentes línguas https://t.co/tDdl9EVrsr;
Thu May 26 00:30:29 +0000 2016;otoniel_cabral;"Não se faz olimpíadas @Rio2016 construindo hospitais.;
Thu May 26 00:29:47 +0000 2016;BladeBoyRio;RT @cpboficial: Atletas paralímpicos viram figurinhas do álbum oficial dos Jogos @Rio2016  https://t.co/UkIlae1lPo https://t.co/9wIz1UcyaG;
Thu May 26 00:27:53 +0000 2016;VitorEmanuelCrs;@VEJA @magaviiilha @rio2016_es massa os peito dela;
Thu May 26 00:23:11 +0000 2016;Jujuca1987;A "geração espontânea" de 2016! #roadtorio #rio2016 https://t.co/DRBqXSrPN3;
Thu May 26 00:22:15 +0000 2016;BetaMamae;RT @CocaCola_Br: Quer saber tudo da viagem do Urso e seus amigos atrás da #TochaOlímpica #Rio2016? Dê RT e receba conteúdos em 1ª mão! #Con…;
Thu May 26 00:20:54 +0000 2016;gracasilva266;RT @CocaCola_Br: Quer saber tudo da viagem do Urso e seus amigos atrás da #TochaOlímpica #Rio2016? Dê RT e receba conteúdos em 1ª mão! #Con…;
Thu May 26 00:19:31 +0000 2016;vale_tavares;RT @danielamercury: Assistir no #Periscope: Daniela Mercury carregando a Tocha Olímpica, em Salvador. #ChamaOlimpica #Rio2016 #danielam… ht…;
Thu May 26 00:19:10 +0000 2016;vale_tavares;RT @danielamercury: Assistir no #Periscope: Show da Tocha, em Salvador. #chamaolimpica #rio2016 https://t.co/Ijyhq21Y7s;
Thu May 26 00:18:54 +0000 2016;ValeeeeBs;RT @TrechosDanielaM: Chama Olímpica conhece cenários e ritmos típicos da Bahia após passagem por Salvador https://t.co/NCPtRsvuIO;
