/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
Mon May 16 00:49:56 +0000 2016;gaabs_crf;RT @Flamengo: Tirou onda! É só o começo do Time #Flamengo na @Rio2016  https://t.co/zHYUJ9UuK9;
Mon May 16 00:48:53 +0000 2016;becadiias;RT @Flamengo: Tirou onda! É só o começo do Time #Flamengo na @Rio2016  https://t.co/zHYUJ9UuK9;
Mon May 16 00:47:35 +0000 2016;lpvalois;RT @Flamengo: Tirou onda! É só o começo do Time #Flamengo na @Rio2016  https://t.co/zHYUJ9UuK9;
Mon May 16 00:47:17 +0000 2016;bl0nd3ss;RT @portalfab: Samuel de A Andrade, aluno da #EPCAR, representou a Escola hoje na passagem da #ChamaOlimpica por Barbacena #Rio2016 https:/…;
Mon May 16 00:39:42 +0000 2016;doug_hand;RT @Rio2016: Leo Cunha e Luisa Vianna, no Museu Mariano Procópio: estamos representando D. Pedro II prestigiando a #TochaOlímpica https://t…;
Mon May 16 00:39:32 +0000 2016;doug_hand;RT @Rio2016: O público já está no Terreirão do Samba, em Juiz de Fora, esperando a #ChamaOlimpica acender a pira! https://t.co/sHGfKKcTaQ;
Mon May 16 00:39:32 +0000 2016;nadiaangeloscrf;RT @Flamengo: Tirou onda! É só o começo do Time #Flamengo na @Rio2016  https://t.co/zHYUJ9UuK9;
Mon May 16 00:39:28 +0000 2016;doug_hand;RT @Rio2016: Vitória, superação, reconhecimento - Alexandre Ank, medalhista de #TênisDeMesa Paralímpico sobre a #TochaOlímpica. https://t.c…;
Mon May 16 00:39:23 +0000 2016;doug_hand;RT @Rio2016: Aguardado pelo público e pela família, André Nascimento - campeão Olímpico do vôlei - chega para acender a pira! https://t.co/…;
Mon May 16 00:37:24 +0000 2016;MagroAco;RT @Flamengo: Tirou onda! É só o começo do Time #Flamengo na @Rio2016  https://t.co/zHYUJ9UuK9;
