/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
Sat May 28 00:42:49 +0000 2016;Diego_Hamester;RT @judors: No Masters, @fekitadai conclui período de competições antes do @Rio2016 https://t.co/jGSpQHr4in #judors;
Sat May 28 00:42:31 +0000 2016;souza_humberto;RT @thepatricao: Dia 2/6 em CAMPINA GRANDE serei um dos condutores da #TochaOlímpica #ChamaOlimpica #ChamaNaPB @Rio2016 #SouCondutor https:…;
Sat May 28 00:41:48 +0000 2016;JuditAlonsoG;RT @IJNetPortugues: .@RioOnWatch lança guia de recursos p/ jornalistas nas Olimpíadas #Rio2016 https://t.co/rcYNXcbajq  https://t.co/vDJMhe…;
Sat May 28 00:41:02 +0000 2016;Souza_JrGrafith;Ensaio do revazamento da Tocha Olímpica #Rio2016 em Assú/RN. @ Assu https://t.co/ehXyiacjdN;
Sat May 28 00:37:59 +0000 2016;chobechas;RT @Rio2016: Luiz Junior Ferreira é coreógrafo e irá fazer apresentações em homenagem a são Francisco, padroeiro de Paulo Afonso. https://t…;
Sat May 28 00:35:41 +0000 2016;jevgwagner;@VEJA @ChamaOlimpica @Rio2016 PEGARIA a CHAMA e INTRODUZIA bem LÁ, no de muitos! E,desistiria da vergonha q passaremos e q se aproxima!;
Sat May 28 00:34:45 +0000 2016;BrunoMarciel10;RT @CocaCola_Br: Quer saber tudo da viagem do Urso e seus amigos atrás da #TochaOlímpica #Rio2016? Dê RT e receba conteúdos em 1ª mão! #Con…;
Sat May 28 00:33:04 +0000 2016;Josejunnior_;RT @CocaCola_Br: Quer saber tudo da viagem do Urso e seus amigos atrás da #TochaOlímpica #Rio2016? Dê RT e receba conteúdos em 1ª mão! #Con…;
Sat May 28 00:32:50 +0000 2016;JulietteWoolf;RT @cpboficial: Atletas paralímpicos viram figurinhas do álbum oficial dos Jogos @Rio2016  https://t.co/UkIlae1lPo https://t.co/9wIz1UcyaG;
Sat May 28 00:30:12 +0000 2016;Legalistasim;@VEJA @ChamaOlimpica @Rio2016 TEMER GOLPISTA  tá  atochando  nos trabalhadores https://t.co/sXqMcXRBC4;
Sat May 28 00:29:18 +0000 2016;Legalistasim;@VEJA @ChamaOlimpica @Rio2016 Temer ta a tocando no trabalhador https://t.co/jpQQyaX1fD;
Sat May 28 00:29:01 +0000 2016;suportepslabs;Retweeted Rio 2016 (@Rio2016):

Cesare de Carli acende a pira na celebração da @ChamaOlimpica 󾓶 em Paulo Afonso... https://t.co/wijvHffbXq;
Sat May 28 00:24:06 +0000 2016;Rio2016;Cesare de Carli acende a pira na celebração da @ChamaOlimpica 🔥 em Paulo Afonso (BA)! 😃
https://t.co/n5XOh3v5As;
Sat May 28 00:22:55 +0000 2016;crisgatadaarea;RT @thepatricao: A #TochaOlímpica tá perto PB,hoje em PE, dia 2/6 em CAMPINA GRANDE #ChamaOlimpica #ChamaNaPB @Rio2016 #SouCondutor https:/…;
Sat May 28 00:20:40 +0000 2016;Rio2016;RT @Brasil2016: Em 2013, Cesare construiu 2 barcos p/ desenvolver projetos c/ crianças carentes pelo rio São Francisco. #TourDaTocha https:…;
Sat May 28 00:20:35 +0000 2016;Rio2016;RT @Brasil2016: Ao remador Cesare de Carli coube a honra de acender a pira na celebração do #TourDaTocha em Paulo Afonso (BA)! 🔥 https://t.…;
Sat May 28 00:19:00 +0000 2016;kanamefrozen;Se a OMS está preocupada com a procriação de virus zika no #Rio2016 #ChamaOlimpica  é sinal que o Governo RJ não ta fazendo dever de casa!!!;
Sat May 28 00:16:41 +0000 2016;SPLdA;Até parece que o mosquito do zika-vírus sirgiu no Brasil ... O zika está espalhado no mundo. Olímpiadas Rio 2016 #Rio2016 #jn;
Sat May 28 00:16:37 +0000 2016;CrisSilva_28;RT @JogosOlimpicos: O DNA dos Jogos @Rio2016!

😎　　　🌅
🚵　　　⚡
🎯　　 🏃
　💛　⚽
　　🏆
　🏊　👊
 🌅　　 📷
🚴　　　⚾
👯　　　☀
🏀　　 💚
　🏇　🚴
　　🏆
　💪　✌
 😘　　 💃
🏄　　　🌞
🎉　　　🏈
 🎥…;
Sat May 28 00:16:28 +0000 2016;joaovdsg;Vai ser uma vergonha se eles transferirem esse rio2016 pra outro país kkkk vou rir;
Sat May 28 00:16:24 +0000 2016;Bieeldovine;RT @CocaCola_Br: Quer saber tudo da viagem do Urso e seus amigos atrás da #TochaOlímpica #Rio2016? Dê RT e receba conteúdos em 1ª mão! #Con…;
Sat May 28 00:15:49 +0000 2016;GlaucyanneSmith;RT @Esp_Interativo: Brasil e Russia se enfrentarão novamente nos Jogos Olímpicos @Rio2016! Quem vai vencer?

Brasil = RT
Rússia = ❤ https:/…;
Sat May 28 00:15:25 +0000 2016;lucastro_silva;@JogosOlimpicos Olá, gostaria de saber se as cartas para os voluntários Rio2016 serão entregues até 31 de Maio? Obrigado!;
