/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
Mon May 02 00:57:35 +0000 2016;ismahsantos;RT @SiteLF: 🏐 Aquecimento Olímpico: #VôleiDePraia || https://t.co/jli37z3MTG || Por: @imastargirl e @cassinha_moura #Rio2016 ht/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
tps://t.co/y…;
Mon May 02 00:57:35 +0000 2016;Fred_Metro2002;RT @SiteLF: 🏐 Aquecimento Olímpico: #VôleiDePraia || https://t.co/jli37z3MTG || Por: @imastargirl e @cassinha_moura #Rio2016 https://t.co/y…;
Mon May 02 00:57:35 +0000 2016;cesareboralli;RT @SiteLF: 🏐 Aquecimento Olímpico: #VôleiDePraia || https://t.co/jli37z3MTG || Por: @imastargirl e @cassinha_moura #Rio2016 https://t.co/y…;
Mon May 02 00:57:35 +0000 2016;AtletiCorneta;RT @SiteLF: 🏐 Aquecimento Olímpico: #VôleiDePraia || https://t.co/jli37z3MTG || Por: @imastargirl e @cassinha_moura #Rio2016 https://t.co/y…;
Mon May 02 00:57:35 +0000 2016;fantastico_scr;RT @SiteLF: 🏐 Aquecimento Olímpico: #VôleiDePraia || https://t.co/jli37z3MTG || Por: @imastargirl e @cassinha_moura #Rio2016 https://t.co/y…;
Mon May 02 00:57:35 +0000 2016;biapessoaguiar;RT @SiteLF: 🏐 Aquecimento Olímpico: #VôleiDePraia || https://t.co/jli37z3MTG || Por: @imastargirl e @cassinha_moura #Rio2016 https://t.co/y…;
Mon May 02 00:57:35 +0000 2016;Edumaya7;RT @SiteLF: 🏐 Aquecimento Olímpico: #VôleiDePraia || https://t.co/jli37z3MTG || Por: @imastargirl e @cassinha_moura #Rio2016 https://t.co/y…;
Mon May 02 00:57:35 +0000 2016;BorjaFrancisco_;RT @SiteLF: 🏐 Aquecimento Olímpico: #VôleiDePraia || https://t.co/jli37z3MTG || Por: @imastargirl e @cassinha_moura #Rio2016 https://t.co/y…;
Mon May 02 00:57:35 +0000 2016;acfmarcelo;RT @SiteLF: 🏐 Aquecimento Olímpico: #VôleiDePraia || https://t.co/jli37z3MTG || Por: @imastargirl e @cassinha_moura #Rio2016 https://t.co/y…;
Mon May 02 00:57:35 +0000 2016;_SiilvaSCFC;RT @SiteLF: 🏐 Aquecimento Olímpico: #VôleiDePraia || https://t.co/jli37z3MTG || Por: @imastargirl e @cassinha_moura #Rio2016 https://t.co/y…;
Mon May 02 00:57:35 +0000 2016;_guigoluis;RT @SiteLF: 🏐 Aquecimento Olímpico: #VôleiDePraia || https://t.co/jli37z3MTG || Por: @imastargirl e @cassinha_moura #Rio2016 https://t.co/y…;
Mon May 02 00:57:35 +0000 2016;_MFreitas9_;RT @SiteLF: 🏐 Aquecimento Olímpico: #VôleiDePraia || https://t.co/jli37z3MTG || Por: @imastargirl e @cassinha_moura #Rio2016 https://t.co/y…;
Mon May 02 00:57:35 +0000 2016;_lefiguereedo;RT @SiteLF: 🏐 Aquecimento Olímpico: #VôleiDePraia || https://t.co/jli37z3MTG || Por: @imastargirl e @cassinha_moura #Rio2016 https://t.co/y…;
Mon May 02 00:57:35 +0000 2016;_cassiagouvea;RT @SiteLF: 🏐 Aquecimento Olímpico: #VôleiDePraia || https://t.co/jli37z3MTG || Por: @imastargirl e @cassinha_moura #Rio2016 https://t.co/y…;
Mon May 02 00:56:59 +0000 2016;ismacedo_;RT @SiteLF: 🏐 Aquecimento Olímpico: #VôleiDePraia || https://t.co/jli37z3MTG || Por: @imastargirl e @cassinha_moura #Rio2016 https://t.co/y…;
Mon May 02 00:56:24 +0000 2016;martinchab1997;RT @Rio2016: A @ChamaOlimpica está aguardando em Lausanne, Suíça. Confira a viagem no nosso snapchat: rio2016 https://t.co/9QKcuoB3mi;
Mon May 02 00:54:00 +0000 2016;_worldLuMel;RT @Rio2016: Conheça os 10 primeiros condutores da #TochaOlímpica no Brasil: https://t.co/zgVciBwYEk https://t.co/HW9Q6WWIPF;
Mon May 02 00:51:03 +0000 2016;ATenistadopara;@alcalejon @BrunoSoares82 @Rio2016 eu não lembro, mas o Brasil ganhou medalhas??;
Mon May 02 00:44:07 +0000 2016;_worldLuMel;RT @FabianaClaudino: Muito honrada e orgulhosa! Só tenho que agradecer a Deus! A Ele toda honra e toda glória!!!#tochaolimpica #Rio2016 htt…;
Mon May 02 00:42:10 +0000 2016;Xvinnis;RT @TVBrasil: Delegação brasileira nas Olimpíadas #Rio2016 já é a maior do país na história dos jogos: https://t.co/m6JtaiCzlj https://t.co…;
Mon May 02 00:35:12 +0000 2016;Vianaarte;RT @TVBrasil: Delegação brasileira nas Olimpíadas #Rio2016 já é a maior do país na história dos jogos: https://t.co/m6JtaiCzlj https://t.co…;
Mon May 02 00:32:53 +0000 2016;larryresist;RT @LucianoHuck: Valeu @lucaslucco! Trailer do @OUrsoOficial entregue! vms encontrar nessa viagem. #TochaOlímpica #Rio2016 #IssoÉOuro https…;
Mon May 02 00:30:35 +0000 2016;Lenaarbo0;RT @BaixaMemoria: Partiu Suíça ✈️ com uma galera da pesada 👊🏻, em busca da #tochaolimpica 🏅 #Rio2016 💘 https://t.co/7mcUPbAXpf;
Mon May 02 00:30:26 +0000 2016;forajida57;RT @tvbombinhas: Welcome Rio de Janeiro #Brazil #Rio2016 #Olimpia2016 #RT #F4F @tvfloripa @kentkristensen1 @channel100TV @tvbombinhas https…;
Mon May 02 00:28:40 +0000 2016;MundoBand;RT @FaClubeBand: Em virtude das Olimpíadas @Rio2016, a @BandTV planeja exibir o #MasterChefBR duas vezes por semana. +info➛ https://t.co/hr…;
Mon May 02 00:28:40 +0000 2016;guiadatelevisao;RT @FaClubeBand: Em virtude das Olimpíadas @Rio2016, a @BandTV planeja exibir o #MasterChefBR duas vezes por semana. +info➛ https://t.co/hr…;
