/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
Queremos saber mais sobre os corruptos na #Copa2014. Vem ai a #CopadaRússia, @Rio2016. Nos ajude, por favor!;
Mon Apr 18 01:51:55 +0000 2016;bicaroll;Pra final na trave foi Flavinha e Jade. Força, meninas! #EventoTeste #Ginastica #Rio2016;
Mon Apr 18 01:51:42 +0000 2016;yeshualcb;RT @SeuEsporteBR: Resultado final do evento teste de Ginástica. Brasil garantido nos Jogos Olímpicos e sendo CAMPEÃO! #Rio2016! https://t.c…;
Mon Apr 18 01:49:23 +0000 2016;RicardoLozanoL;RT @laaficion: #Entérate: Madaí Pérez, se clasifica a @Rio2016 
 https://t.co/xyZawOn7yf https://t.co/v8Su5dAlGN;
Mon Apr 18 01:45:47 +0000 2016;Jonatha99308772;RT @Corinthians: É nóis no @Rio2016! Leonardo de Deus garante vaga olímpica nos 200m borboleta no #MariaLenk https://t.co/un0Ceq05pW;
Mon Apr 18 01:45:19 +0000 2016;SeuEsporteBR;Além do Brasil, Alemanha, Bélgica e França são as outras Equipes com passaporte para o #Rio2016.;
Mon Apr 18 01:44:39 +0000 2016;dudo13junior;RT @Jujuca1987: Premiação da prova de hoje dos 200md com o tempo de 2,14.37. #ecp #rio2016 #OAS https://t.co/q6BLSX6U8g;
Mon Apr 18 01:43:50 +0000 2016;GustavoLGAB;RT @SeuEsporteBR: Resultado final do evento teste de Ginástica. Brasil garantido nos Jogos Olímpicos e sendo CAMPEÃO! #Rio2016! https://t.c…;
Mon Apr 18 01:43:06 +0000 2016;profa_analucia;RT @SurtoOlimpico: Brasil, Alemanha, França e Bélgica classificaram as suas equipes para a competição de Ginástica Artística feminina do @R…;
Mon Apr 18 01:42:58 +0000 2016;nanamundi;RT @Brasil2016: Terminaram as rotações no #EventoTeste. Brasil, Alemanha, Bélgica e França conquistaram as vagas na ginástica pro @Rio2016…;
Mon Apr 18 01:42:23 +0000 2016;abellabaiana;RT @SeuEsporteBR: Brasil está classificado para os Jogos do Rio com sua equipe feminina de ginástica!! #Rio2016 https://t.co/ZAjMmARn8J;
Mon Apr 18 01:42:01 +0000 2016;Ruby_Santoro;RT @SeuEsporteBR: Brasil está classificado para os Jogos do Rio com sua equipe feminina de ginástica!! #Rio2016 https://t.co/ZAjMmARn8J;
Mon Apr 18 01:40:57 +0000 2016;JhbejaranoJose;RT @dilmabr: Inaugurei hj o Estádio Aquático Olímpico, no RJ, q será palco das competições de natação e pólo aquático do @Rio2016 https://t…;
Mon Apr 18 01:40:04 +0000 2016;AlexFerroPhoto;Evento-Teste. Ginástica Olímpica. #npsnikon #alexferro @rio2016_es #aquecerio https://t.co/l2XHtNj4Pg;
Mon Apr 18 01:39:51 +0000 2016;IassaSaline;RT @Brasil2016: Terminaram as rotações no #EventoTeste. Brasil, Alemanha, Bélgica e França conquistaram as vagas na ginástica pro @Rio2016…;
