/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
date = Thu Apr 28 23:37:45 +0000 2016| user = rvvveloso| text = @Sard4um @Rio2016 @JogosOlimpicos obg, amg.
date = Thu Apr 28 23:37:43 +0000 2016| user = mcrc27| text = RT @Rio2016: O mundo se vestiu de verde e amarelo pelos 100 dias para os @JogosOlimpicos Você viu? https://t.co/nWV66hsvtb https://t.co/o7R…
date = Thu Apr 28 23:37:12 +0000 2016| user = Sard4um| text = RT @Rio2016: O mundo se vestiu de verde e amarelo pelos 100 dias para os @JogosOlimpicos Você viu? https://t.co/nWV66hsvtb https://t.co/o7R…
date = Thu Apr 28 23:36:51 +0000 2016| user = Seba_Pereira| text = RT @Brasil2016: 🏊🏾 A piscina do Estádio Aquático recebe mais um #EventoTeste pensando no #Rio2016: o do #PoloAquático https://t.co/MPkI5WzO…
date = Thu Apr 28 23:36:45 +0000 2016| user = anyclf| text = Gentee do céu  eu esqueci completamente dos ingressos #rio2016 ..
date = Thu Apr 28 23:36:14 +0000 2016| user = Sard4um| text = @Rio2016 @rvvveloso @JogosOlimpicos mkt aqui não 
Bap Veloso
date = Thu Apr 28 23:36:08 +0000 2016| user = coste25102001| text = RT @Rio2016: O mundo se vestiu de verde e amarelo pelos 100 dias para os @JogosOlimpicos Você viu? https://t.co/nWV66hsvtb https://t.co/o7R…
date = Thu Apr 28 23:35:51 +0000 2016| user = luene_luene| text = RT @Rio2016: O mundo se vestiu de verde e amarelo pelos 100 dias para os @JogosOlimpicos Você viu? https://t.co/nWV66hsvtb https://t.co/o7R…
date = Thu Apr 28 23:35:45 +0000 2016| user = sabriromiycris| text = RT @Rio2016: O mundo se vestiu de verde e amarelo pelos 100 dias para os @JogosOlimpicos Você viu? https://t.co/nWV66hsvtb https://t.co/o7R…
date = Thu Apr 28 23:35:40 +0000 2016| user = rvvveloso| text = RT @Rio2016: O mundo se vestiu de verde e amarelo pelos 100 dias para os @JogosOlimpicos Você viu? https://t.co/nWV66hsvtb https://t.co/o7R…
date = Thu Apr 28 23:35:39 +0000 2016| user = ArajoDarcy| text = RT @Rio2016: O mundo se vestiu de verde e amarelo pelos 100 dias para os @JogosOlimpicos Você viu? https://t.co/nWV66hsvtb https://t.co/o7R…
date = Thu Apr 28 23:35:37 +0000 2016| user = adrielujan| text = RT @Rio2016: O mundo se vestiu de verde e amarelo pelos 100 dias para os @JogosOlimpicos Você viu? https://t.co/nWV66hsvtb https://t.co/o7R…
