/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
Wed Jun 29 03:08:14 +0000 2016;JBarbosa2014;WELCOME TO OLYMPIC GAMES / RIO 2016 @Olympics!

(Eu amo o Rio! É um absurdo o que fazem com essa cidade!)

#RIO2016 https://t.co/rHamQruZqG;
Wed Jun 29 01:57:42 +0000 2016;regisblima;Adorei a identidade visual da @Rio2016 bem lgbttq;
Wed Jun 29 01:57:22 +0000 2016;paulo_manso;#Rio2016 
NÃO VENHA!
Don't come! https://t.co/oTQDrRFQPO;
Wed Jun 29 01:56:20 +0000 2016;mafiaB3ar;RT @CocaCola_Br: .@FeCastanhari e @t3ddyyyyy piraram na #TochaOlímpica #Rio2016 #IssoÉOuro #DeCaronaComATocha https://t.co/LppFH63Voz https…;
Wed Jun 29 01:56:09 +0000 2016;paulo_manso;#Rio2016 
NÃO VENHA!
Don't come! https://t.co/b0BErx0x50;
Wed Jun 29 01:55:21 +0000 2016;FilLeal;RT @paulo_manso: Apesar de médica, não tinha DIREITOS HUMANOS? Foi assassinda em assalto, ontem. No Rio de Janeiro. #Rio2016 https://t.co/L…;
Wed Jun 29 01:55:18 +0000 2016;CartasParaLucas;RT @CocaCola_Br: .@FeCastanhari e @t3ddyyyyy piraram na #TochaOlímpica #Rio2016 #IssoÉOuro #DeCaronaComATocha https://t.co/LppFH63Voz https…;
Wed Jun 29 01:54:51 +0000 2016;Regys_Silva;RT @SurtoOlimpico: Países, esportes, história, siglas...tudo isso no Mapa do Surto para o @Rio2016 https://t.co/lxKMIGN3oG https://t.co/lHZ…;
Wed Jun 29 01:54:31 +0000 2016;Regys_Silva;RT @SurtoOlimpico: .@TeddyTamgho está fora do @Rio2016 https://t.co/TRypPeA4K9 https://t.co/Kzik8qMQkZ;
Wed Jun 29 01:54:18 +0000 2016;paulo_manso;#Rio2016 
NÃO VENHA!
Don't come! https://t.co/rusohWjW7b;
Wed Jun 29 01:54:12 +0000 2016;Regys_Silva;RT @SurtoOlimpico: Jadel Gregório diz que se aposenta caso não alcance o indice para o @Rio2016 https://t.co/P8ugY5b1uv https://t.co/jKakde…;
Wed Jun 29 01:54:09 +0000 2016;Regys_Silva;RT @SurtoOlimpico: Entregue o Velódromo do @Rio2016 https://t.co/gka9g3nvuB https://t.co/60mJkuv0Vh;
Wed Jun 29 01:54:03 +0000 2016;T3ddyOti;RT @CocaCola_Br: .@FeCastanhari e @t3ddyyyyy piraram na #TochaOlímpica #Rio2016 #IssoÉOuro #DeCaronaComATocha https://t.co/LppFH63Voz https…;
