/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
Mon Jun 27 01:56:37 +0000 2016;Regys_Silva;RT @SurtoOlimpico: Definida a equipe de ginástica artística masculina dos EUA para o @Rio2016 https://t.co/2TFQvve80Y https://t.co/DBlCegVu…;
Mon Jun 27 01:56:17 +0000 2016;joaodosamba;RT @SurtoOlimpico: Tá faltando apenas 40 dias para o @Rio2016!! Tá quase lá!!;
Mon Jun 27 01:56:16 +0000 2016;Regys_Silva;RT @SurtoOlimpico: A Espanha garante vaga no torneio de rugby sevens do @Rio2016 https://t.co/MIdDzjbT7X https://t.co/TqVhlCrzbc;
Mon Jun 27 01:56:12 +0000 2016;Regys_Silva;RT @SurtoOlimpico: O Guia para o Triatlo do @Rio2016 https://t.co/8NQAVKrwXN https://t.co/e7LssRSCHD;
Mon Jun 27 01:56:10 +0000 2016;Regys_Silva;RT @SurtoOlimpico: Destaques do Surto..,o Mapa do Guia do Surto para o @Rio2016 https://t.co/lxKMIGN3oG https://t.co/dEpDByv8UZ;
Mon Jun 27 01:55:53 +0000 2016;EduardoCoutoRj;RT @SurtoOlimpico: Tá faltando apenas 40 dias para o @Rio2016!! Tá quase lá!!;
Mon Jun 27 01:55:24 +0000 2016;SurtoOlimpico;Tá faltando apenas 40 dias para o @Rio2016!! Tá quase lá!!;
Mon Jun 27 01:54:29 +0000 2016;gestao1000;RT @xndsf: Não estão é matando animais em risco de extinção. Vocês ainda patrocinam isso? #Rio2016 #sangue no #OTrajetoDaTocha https://t.co…;
Mon Jun 27 01:54:00 +0000 2016;SurtoOlimpico;.@paugasol vem para o @Rio2016 https://t.co/bLBbOJcC1A https://t.co/nePn22WtIF;
Mon Jun 27 01:53:59 +0000 2016;gestao1000;RT @Alex_olivveira: Quem foi o idiota que teve essa ideia??... #chamanoAM #Rio2016 #OTrajetoDaTocha @exercitooficial #ChamaOlimpica https:/…;
Mon Jun 27 01:52:02 +0000 2016;SurtoOlimpico;Lembrando que foi definida a equipe de basquete masculino do @usabasketball para o @Rio2016 https://t.co/pxSxKTnWsv https://t.co/ourTZBNWaX;
Mon Jun 27 01:51:57 +0000 2016;fernandinha015;Partiu Rio2016! 🇧🇷;
Mon Jun 27 01:51:44 +0000 2016;lucascostaspfc;Eu e a tocha olímpica! #rio2016 #agoraério2016 https://t.co/yAlxWLrB3w;
Mon Jun 27 01:48:39 +0000 2016;SurtoOlimpico;Definida a equipe de ginástica artística masculina dos EUA para o @Rio2016 https://t.co/2TFQvve80Y https://t.co/DBlCegVuYf;
Mon Jun 27 01:48:01 +0000 2016;bogaboga27;Unica coisa boa da olimpiada ate agr foi a onça morta #Rio2016;
Mon Jun 27 01:46:21 +0000 2016;MarceloGondimDH;RT @EmbaixadaEUA: Diplomatas Americanos q vivem no Brasil dão dicas de como se manter seguro no #Rio durante os Jogos @Rio2016! #USinRio;
Mon Jun 27 01:46:04 +0000 2016;McatazpMcatazp1;RT @Julylsantos: Rio de Janeiro! #Rio2016 https://t.co/saFtrOrW5j;
Mon Jun 27 01:45:58 +0000 2016;Hild07;RT @prosapolitica: Edição comemorativa da #Rio2016 https://t.co/XhjZTQdBfl;
Mon Jun 27 01:45:03 +0000 2016;SurtoOlimpico;A Espanha garante vaga no torneio de rugby sevens do @Rio2016 https://t.co/MIdDzjbT7X https://t.co/TqVhlCrzbc;
Mon Jun 27 01:44:42 +0000 2016;catiaug;RT @Rio2016: Seu Paulino começou a correr maratonas aos 72 anos e dá a dica para longevidade:

#ChamaOlimpica https://t.co/JOIv93IKUJ;
Mon Jun 27 01:44:29 +0000 2016;SurtoOlimpico;O Guia para o Triatlo do @Rio2016 https://t.co/8NQAVKrwXN https://t.co/e7LssRSCHD;
Mon Jun 27 01:44:23 +0000 2016;raphaelpazos;Ciclistas e amantes do pedal , INAUGUROU !!! 🙏🚴🙏🚴🙏🚴🙏🚴 #rio2016… https://t.co/nAVEEROQPK;
Mon Jun 27 01:44:14 +0000 2016;SerraoChifer;RT @paulacamara_: Eu apoio essa ideia !  #Rio2016 https://t.co/XrCzMZyIFN;
Mon Jun 27 01:44:07 +0000 2016;SurtoOlimpico;Destaques do Surto..,o Mapa do Guia do Surto para o @Rio2016 https://t.co/lxKMIGN3oG https://t.co/dEpDByv8UZ;
Mon Jun 27 01:41:57 +0000 2016;arcanjocesar;#rio2016 #VIVAoAMOR https://t.co/zY1l8qwe9S Viva a vitória Olímpica, Carros e Nossa Senhora Aparecida que nos protege! Viva a Nossa Sr.Maria;
Mon Jun 27 01:40:35 +0000 2016;MichaelRemista;RT @Julylsantos: Rio de Janeiro! #Rio2016 https://t.co/saFtrOrW5j;
Mon Jun 27 01:40:08 +0000 2016;welington1504;Tá chegando os jogos olímpicos #Rio2016!!!;
Mon Jun 27 01:39:47 +0000 2016;cidamilitao;RT @VEJA: '@Rio2016 se desculpou; E charges da onça pintada Juma se propagaram pelas redes https://t.co/O6uQLOmbUm;
Mon Jun 27 01:39:20 +0000 2016;rfmotoki;RT @azeredo_mg: O RIO OLÍMPICO @eduardopaes_ @riodejaneiro @Rio2016 @Rio2016_en @Rio2016_en https://t.co/sXEHFGUGlN;
Mon Jun 27 01:36:21 +0000 2016;arianicerqueira;Presente na história... 
#chamaquetransforma 
#euvipassar
#rio2016 @ Centro De Dourados https://t.co/u8EfNlb4ww;
Mon Jun 27 01:35:48 +0000 2016;RRSALLES;RT @radiobandnewsfm: Faltando 40 dias para a #Rio2016 e com obras inacabadas, o velódromo é entregue no Parque Olímpico neste domingo. http…;
Mon Jun 27 01:35:37 +0000 2016;wilespingarda;@VEJA @Rio2016 kkkkkkkkk essas charges kkkkkkkkk 😄😄😄😄😄😄😄;
Mon Jun 27 01:35:06 +0000 2016;gnuniao;Quer se juntar ao Time GNU? Fique ligado então nas ações que realizaremos até o início da @Rio2016 #gnunorio #esporteéoquenosune;
Mon Jun 27 01:34:03 +0000 2016;ControlexBrasil;Retweeted Paula (@paulacamara_):

Bem-vindos aos Jogos Olímpicos Rio2016 https://t.co/zV7Ms7GhoR https://t.co/0dIpkC2Y9Y;
Mon Jun 27 01:34:00 +0000 2016;ControlexBrasil;RT @paulacamara_: Bem-vindos aos Jogos Olímpicos Rio2016 https://t.co/BOfzcywhvX;
Mon Jun 27 01:32:38 +0000 2016;andersoncabido;RT @sebrae:  Fique ligado aqui a partir do dia 28 e veja nossas dicas pra você lucrar com a #Rio2016 https://t.co/4cubrXzDkd https://t.c…;
Mon Jun 27 01:31:58 +0000 2016;taddei_piratini;RT @paulacamara_: Bem-vindos aos Jogos Olímpicos Rio2016 https://t.co/BOfzcywhvX;
Mon Jun 27 01:31:56 +0000 2016;manuandradee;RT @DaniPiedade05: Hoje amistoso contra a Suíça 😉👍. Preparatório para os Jogos Olímpicos do Rio. 
BRASIL 30 X 24 SUÍÇA @cbhb1 @Rio2016 http…;
Mon Jun 27 01:31:33 +0000 2016;mmario11291;RT @Brasil2016: A demanda dos Jogos #Rio2016 é grande, mas os aeroportos estão prontos, principalmente os do Rio. https://t.co/oCcgRAO99L;
Mon Jun 27 01:31:31 +0000 2016;HebertBgomes;RT @paulacamara_: Bem-vindos aos Jogos Olímpicos Rio2016 https://t.co/BOfzcywhvX;
Mon Jun 27 01:31:17 +0000 2016;mmario11291;RT @Brasil2016: .@BrazilEmbassyUK e @minesporte divulgam o #Rio2016 em telas digitais britânicas. https://t.co/j9rR5axyGF https://t.co/Eznn…;
Mon Jun 27 01:30:38 +0000 2016;sandrodias2009;Anda mais difícil viver no #RioDeJaneiro a cada dia....#Rio2016 #violencia  https://t.co/rMwwYaFN9H;
Mon Jun 27 01:30:26 +0000 2016;gnuniao;A contagem regressiva para a @Rio2016 segue - faltam 40 dias hoje - e o Time GNU começa a ganhar forma;
