/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
Sun Jun 19 01:38:15 +0000 2016;Guerreira_Cec;@Camisa5estrelas @CBF_Futebol @EstadaoEsporte @Fernando_Prass @Rio2016 pqp com todo respeito mas o Fábio e o Fábio ne;
Sun Jun 19 01:37:38 +0000 2016;RianOficial7;RT @rezende_evil: Quem vai me ajudar a ganhar essa competição? https://t.co/bg6Dy227MO #omelhoranodasuavida #rio2016 #gillette https://t.co…;
Sun Jun 19 01:37:24 +0000 2016;CamposOdete;RT @o_antagonista: Cocôs em alta resolução na @Rio2016 https://t.co/G94Oaifgxx https://t.co/lMp53lasVF;
Sun Jun 19 01:35:14 +0000 2016;_c_o_i_n_;Vai pra balada pagar pau pra mina que faz cu doce e tem como projeto de vida engravidar de gringo durante as Olimpíadas #Rio2016 VSF!!!;
Sun Jun 19 01:34:39 +0000 2016;arttorvic;o melhor do Brasil é –definitivamente– o brasileiro #Rio2016 https://t.co/LmLNaU3ghE;
Sun Jun 19 01:32:16 +0000 2016;arcanjocesar;COMEMORAR A VITÓRIA OLÍMPICA ONDE COMANDAREMOS A MAIOR FESTA NO PLANETA TERRA,GLORIFICAMOS NOSSA VITÓRIA DA RIO2016 https://t.co/oZel4hqHWp;
Sun Jun 19 01:28:20 +0000 2016;arcanjocesar;A MENSAGEM DAS OLIMPÍADAS É CLARA"SOMOS TODOS IGUAIS" E AQUELES QUE JOGAM COM O ÓDIO ESTÃO FORA DA RIO2016. ESSA É A NOSSA VITÓRIA NO BRASIL;
Sun Jun 19 01:23:30 +0000 2016;_Natherra;RT @exercitooficial: Time Brasil alcança 100 atletas militares classificados para os Jogos #Rio2016 https://t.co/av43pWLn78 https://t.co/m3…;
Sun Jun 19 01:23:30 +0000 2016;Patriiick_Wan;【DREAM "FITA" PROJECT | Panasonic】O Neymar Jr. está torcendo pelo seu sonho. https://t.co/EcXnKuPUGz https://t.co/uMpGnNB38X;
Sun Jun 19 01:21:19 +0000 2016;marinesanacleto;RT @EstadaoEsporte: ESPÍRITO OLÍMPICO! @Fernando_Prass se diz orgulhoso por estar na lista para o @Rio2016. https://t.co/P8qMMZUHmh https:/…;
Sun Jun 19 01:20:25 +0000 2016;Lontrablues;RT @o_antagonista: Cocôs em alta resolução na @Rio2016 https://t.co/G94Oaifgxx https://t.co/lMp53lasVF;
Sun Jun 19 01:18:56 +0000 2016;Sherelin_psm;@VEJA @Rio2016 minha cidade linda de belas praias de agua doce Santarém Para;
Sun Jun 19 01:18:54 +0000 2016;Margotcarvalho1;RT @o_antagonista: Cocôs em alta resolução na @Rio2016 https://t.co/G94Oaifgxx https://t.co/lMp53lasVF;
Sun Jun 19 01:18:31 +0000 2016;arcanjocesar;SER VOLUNTÁRIO E PARTICIPAR DOS ENCERRAMENTOS NO MARACANÃ DAS OLIMPÍADAS ERA O SONHO. FESTA NO FINAL PRA COMEMORAR A RIO2016 #RIO2016;
Sun Jun 19 01:18:26 +0000 2016;osvaldo_guedes;RT @EstadaoEsporte: ESPÍRITO OLÍMPICO! @Fernando_Prass se diz orgulhoso por estar na lista para o @Rio2016. https://t.co/P8qMMZUHmh https:/…;
Sun Jun 19 01:17:50 +0000 2016;jornalistavitor;RT @EstadaoEsporte: ESPÍRITO OLÍMPICO! @Fernando_Prass se diz orgulhoso por estar na lista para o @Rio2016. https://t.co/P8qMMZUHmh https:/…;
Sun Jun 19 01:16:18 +0000 2016;ThaisRando;RT @EstadaoEsporte: ESPÍRITO OLÍMPICO! @Fernando_Prass se diz orgulhoso por estar na lista para o @Rio2016. https://t.co/P8qMMZUHmh https:/…;
Sun Jun 19 01:15:07 +0000 2016;EstadaoEsporte;ESPÍRITO OLÍMPICO! @Fernando_Prass se diz orgulhoso por estar na lista para o @Rio2016. https://t.co/P8qMMZUHmh https://t.co/7C69izm0x4;
Sun Jun 19 01:12:06 +0000 2016;M_Pedulla;RT @o_antagonista: Cocôs em alta resolução na @Rio2016 https://t.co/G94Oaifgxx https://t.co/lMp53lasVF;
Sun Jun 19 01:11:15 +0000 2016;pireswashington;RT @exercitooficial: Guerreiros de Selva e Paraquedistas Os Cometas prontos p/ o revezamento da tocha #Rio2016 https://t.co/qPPAgtZxhv http…;
Sun Jun 19 01:08:49 +0000 2016;SoldadoCidadao;Causos da Caserna.
Novas historias &gt; @exercitooficial 
...6 &gt; Banda de Música por Altura 
#MedalhasRio2016 #Rio2016 https://t.co/lJXlJK72xi;
Sun Jun 19 01:08:08 +0000 2016;martinchab1997;RT @Rio2016: Danilo Brito, 12 anos e promessa no #judô, passou a #ChamaOlimpica para a última condutora do dia, Karla Raskopf. https://t.co…;
Sun Jun 19 01:07:45 +0000 2016;LolaMacedo381;RT @o_antagonista: Cocôs em alta resolução na @Rio2016 https://t.co/G94Oaifgxx https://t.co/lMp53lasVF;
Sun Jun 19 01:07:13 +0000 2016;svictorino;RT @o_antagonista: Cocôs em alta resolução na @Rio2016 https://t.co/G94Oaifgxx https://t.co/lMp53lasVF;
Sun Jun 19 01:05:43 +0000 2016;quadrantecm;RT @o_antagonista: Cocôs em alta resolução na @Rio2016 https://t.co/G94Oaifgxx https://t.co/lMp53lasVF;
