/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
Tue Jan 12 22:41:46 +0000 2016;DanielSJkampos;RT @CBB_basquete: Amistoso 'Aquece Rio' #EventoTeste: 3 QT:  Brasil 64 x 34 Argentina. #Rio2016 #SomosTodosBasquete;
Tue Jan 12 22:33:00 +0000 2016;Gg2Jr;@dilmabr @Rio2016 e o hospitais publico uma bagunça!!!;
Tue Jan 12 22:30:09 +0000 2016;rio2016_rio;Centro Luiz Gonzaga de Tradições Nordestinas - Feira dos paraíbas - Feira de São Cri ... - https://t.co/6MdaMnws5F https://t.co/m2inHrxbCi;
Tue Jan 12 22:29:55 +0000 2016;CanoagemPt;#sapodesporto Vice-campeões olímpicos de canoagem preparam Rio2016 em Sevilha... https://t.co/LAgSFt1Tha;
Tue Jan 12 22:27:32 +0000 2016;JaumLuiz;Recuperação pós treino com @tiago_testa , só assim pra manter os treinos focado no #rio2016 󾭞🏾 || " Tudo posso... https://t.co/mH2wDTjjJo;
Tue Jan 12 22:27:28 +0000 2016;JaumLuiz;Recuperação pós treino com tiago_testa , só assim pra manter os treinos focado no #rio2016 💪🏾 ||… https://t.co/9LIIihNzNH;
Tue Jan 12 22:23:10 +0000 2016;OlimpicoEsporte;RT @basquetebrasil: Amistoso 'Aquece Rio' #EventoTeste: Fim de jogo:  Brasil 81 x 39 Argentina. #Rio2016 #SomosTodosBasquete https://t.co/g…;
Tue Jan 12 22:21:29 +0000 2016;rio2016_rio;Ainda acho hilário se autofotografar,  mas até que ficou boa minha foto do aquec... - https://t.co/vNoeTKMJeT https://t.co/shWPXAgnBA;
Tue Jan 12 22:21:13 +0000 2016;Gabii_Prr;RT @basquetebrasil: Amistoso 'Aquece Rio' #EventoTeste: 1 QT:  Brasil 21 x 14 Argentina. #Rio2016 #SomosTodosBasquete https://t.co/R2bLpBan…;
Tue Jan 12 22:20:28 +0000 2016;YesbananasSport;Yes!Sports - Hortência e Janeth lamentam boicote durante evento-teste do basquete:  https://t.co/L1NEnivFCE #sports #esportes;
Tue Jan 12 22:20:21 +0000 2016;FutebolEspiao;Hortência e Janeth lamentam boicote durante evento-teste do basquete https://t.co/3S46N2TZp9;
Tue Jan 12 22:20:19 +0000 2016;PortalEsporte10;Hortência e Janeth lamentam boicote durante evento-teste do basquete https://t.co/DLMaUSaMdj;
Tue Jan 12 22:20:17 +0000 2016;irafaelbarros;Hortência e Janeth lamentam boicote durante evento-teste do basquete:  https://t.co/2YEaCQqJmb;
Tue Jan 12 22:20:15 +0000 2016;BrunoJaquet03;Hortência e Janeth lamentam boicote durante evento-teste do basquete:  https://t.co/Y6auhRTg66;
Tue Jan 12 22:19:28 +0000 2016;apab_barretos;RT @Hortencia: Com minha parceira de seleção @janetharcain na inauguração da Arena1 onde serão os Jogos de basquete no #rio2016 https://t.c…;
Tue Jan 12 22:18:15 +0000 2016;FRadulovich;RT @CBB_basquete: Amistoso 'Aquece Rio' #EventoTeste: 3 QT:  Brasil 64 x 34 Argentina. #Rio2016 #SomosTodosBasquete;
Tue Jan 12 22:18:13 +0000 2016;ilobur_news;Cisco transforma pessoas comuns em heróis dos Jogos Rio 2016 - Mundo do Marketing https://t.co/69GT33cxfl #ブラジル #五輪 #Rio2016;
Tue Jan 12 22:18:10 +0000 2016;FRadulovich;RT @basquetebrasil: Amistoso 'Aquece Rio' #EventoTeste: 1 QT:  Brasil 21 x 14 Argentina. #Rio2016 #SomosTodosBasquete https://t.co/R2bLpBan…;
Tue Jan 12 22:17:40 +0000 2016;FRadulovich;RT @basquetebrasil: Amistoso 'Aquece Rio' #EventoTeste: Fim de jogo:  Brasil 81 x 39 Argentina. #Rio2016 #SomosTodosBasquete https://t.co/g…;
Tue Jan 12 22:17:28 +0000 2016;FRadulovich;RT @basquetebrasil: Amistoso 'Aquece Rio' #EventoTeste: 1 Tempo:  Brasil 44 x 22 Argentina. #Rio2016 #SomosTodosBasquete https://t.co/CRRlN…;
Tue Jan 12 22:16:20 +0000 2016;basquetebrasil;Amistoso 'Aquece Rio' #EventoTeste: Fim de jogo:  Brasil 81 x 39 Argentina. #Rio2016 #SomosTodosBasquete https://t.co/gJPt2bIrNV;
Tue Jan 12 22:11:57 +0000 2016;tomwayne22;Gostaria de pedir a banda One Direction e o Luan Santana p os Jogos Olímpicos do Rio!! Rio2016 
 
#OneDBestFans2016;
Tue Jan 12 22:11:09 +0000 2016;PorAiAntenada;Gostaria de pedir a banda One Direction e o Luan Santana p os Jogos Olímpicos do Rio!! @Rio2016 
 
#OneDBestFans2016;
Tue Jan 12 22:09:57 +0000 2016;embassyofsport;RT @CBB_basquete: Amistoso 'Aquece Rio' #EventoTeste: 3 QT:  Brasil 64 x 34 Argentina. #Rio2016 #SomosTodosBasquete;
Tue Jan 12 22:06:56 +0000 2016;damolas;RT @dilmabr: 2016 será um ano importante p/ o Brasil. Receberemos gente de todo o mundo p/ os Jogos @Rio2016 #SomosTodosBrasil;
Tue Jan 12 21:57:37 +0000 2016;raphinhabrandao;RT @Rio2016: #Carnaval tá quase aí e a gente tem dicas de fantasias pra vc! A de hoje é pra quem curte #hipismo! 🐴 https://t.co/lnknFjzrC0;
Tue Jan 12 21:57:33 +0000 2016;FimDeJogoVR;RT @equipefimdejogo: Inauguração da Arena Carioca 1. #Rio2016 #cidadeolimpica #olimpiadas https://t.co/7W5fN7RwWC;
Tue Jan 12 21:57:14 +0000 2016;BaekVaan;RT @brazilkorea: Conheça a #atleta coreana que parti/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
cipará das Paraolimpíadas do #Rio2016 🏆🏅🇰🇷   https://t.co/RdXPolQn0B https://t.co/WCGdx…;
Tue Jan 12 21:56:54 +0000 2016;FimDeJogoVR;RT @fimdejogo: uma volta na arena carioca #rio2016 #cidadeolimpica https://t.co/YRh2d5H1vV;
Tue Jan 12 21:55:27 +0000 2016;FimDeJogoVR;RT @fimdejogo: #Rio2016 - arena carioca - parque olímpico na barra #cidadeolimpica @Rio2016 https://t.co/ypHZO1OZW6;
Tue Jan 12 21:49:59 +0000 2016;Comunklam;RT @Rio2016: Quer ver os Jogos mais de perto? Então segue a gente no #Snapchat: rio2016 https://t.co/FxuursA63v;
Tue Jan 12 21:43:18 +0000 2016;ManuNiel;RT @CBB_basquete: Amistoso 'Aquece Rio' #EventoTeste: 3 QT:  Brasil 64 x 34 Argentina. #Rio2016 #SomosTodosBasquete;
Tue Jan 12 21:41:31 +0000 2016;basquetebrasil;RT @CBB_basquete: Amistoso 'Aquece Rio' #EventoTeste: 3 QT:  Brasil 64 x 34 Argentina. #Rio2016 #SomosTodosBasquete;
Tue Jan 12 21:35:42 +0000 2016;CBB_basquete;Amistoso 'Aquece Rio' #EventoTeste: 3 QT:  Brasil 64 x 34 Argentina. #Rio2016 #SomosTodosBasquete;
Tue Jan 12 21:34:27 +0000 2016;ManuNiel;RT @basquetebrasil: Amistoso 'Aquece Rio' #EventoTeste: 1 QT:  Brasil 21 x 14 Argentina. #Rio2016 #SomosTodosBasquete https://t.co/R2bLpBan…;
Tue Jan 12 21:33:39 +0000 2016;ManuNiel;RT @basquetebrasil: Amistoso 'Aquece Rio' #EventoTeste: 1 Tempo:  Brasil 44 x 22 Argentina. #Rio2016 #SomosTodosBasquete https://t.co/CRRlN…;
Tue Jan 12 21:33:20 +0000 2016;oConsciente;portalbrasil: #Rio2016 | Com histórico de sucesso, vela aposta em medalhas na Olimpíada https://t.co/fo3l0NT4Uu Brasil2016 ⛵;
Tue Jan 12 21:30:16 +0000 2016;portalbrasil;#Rio2016 | Com histórico de sucesso, vela aposta em medalhas na Olimpíada https://t.co/Fd3nDIlbtS @Brasil2016 ⛵;
Tue Jan 12 21:25:25 +0000 2016;NandoPhantom;Tiroteio atinge ônibus e deixa feridos em Piedade, na Zona Norte do Rio #Rio2016 #CidadeOlimpica  https://t.co/1ufWAADL1Q;
Tue Jan 12 21:17:53 +0000 2016;LOVELY_DDOG;Não seria melhor colocar mais trens de metrô para que todos fiquem sentados?
Ou seria pedir muito?
#Rio2016 https://t.co/nHQfOYlfDl;
Tue Jan 12 21:16:15 +0000 2016;CBB_basquete;RT @basquetebrasil: Amistoso 'Aquece Rio' #EventoTeste: 1 Tempo:  Brasil 44 x 22 Argentina. #Rio2016 #SomosTodosBasquete https://t.co/CRRlN…;
Tue Jan 12 21:16:10 +0000 2016;ilobur_news;De olho na Rio 2016, Cielo voltará a treinar nos EUA - O Tempo https://t.co/cTEC4thNef #ブラジル #五輪 #Rio2016;
Tue Jan 12 21:15:43 +0000 2016;basquetebrasil;Amistoso 'Aquece Rio' #EventoTeste: 1 Tempo:  Brasil 44 x 22 Argentina. #Rio2016 #SomosTodosBasquete https://t.co/CRRlNbEPsz;
Tue Jan 12 21:14:01 +0000 2016;ClaudiaNiteroi2;RT @basquetebrasil: Amistoso 'Aquece Rio' #EventoTeste: 1 QT:  Brasil 21 x 14 Argentina. #Rio2016 #SomosTodosBasquete https://t.co/R2bLpBan…;
Tue Jan 12 21:13:15 +0000 2016;MarildaMRamos;RT @basquetebrasil: Amistoso 'Aquece Rio' #EventoTeste: 1 QT:  Brasil 21 x 14 Argentina. #Rio2016 #SomosTodosBasquete https://t.co/R2bLpBan…;
Tue Jan 12 21:13:02 +0000 2016;annamagagnin;RT @gnuniao: Guilherme Toldo e Gabriela Cecchini na corrida para classificação #Rio2016 Estamos na torcida!  https://t.co/wQkVBw2ROU;
Tue Jan 12 21:12:12 +0000 2016;gnuniao;Guilherme Toldo e Gabriela Cecchini na corrida para classificação #Rio2016 Estamos na torcida!  https://t.co/wQkVBw2ROU;
Tue Jan 12 21:11:01 +0000 2016;basquetebrasil;Amistoso 'Aquece Rio' #EventoTeste: 1 QT:  Brasil 21 x 14 Argentina. #Rio2016 #SomosTodosBasquete https://t.co/R2bLpBanks;
Tue Jan 12 21:04:02 +0000 2016;marciapink_1;RT @Rio2016: Hoje: apresentação da Arena Carioca 1 no #ParqueOlímpico🏀🏀 https://t.co/A5YI1fwkLt;
Tue Jan 12 21:01:06 +0000 2016;anapaulagtd;Tá salvo @cocacola_br com muito carinho!!! Vai ser incrível! #rio2016 #revezamento #tocha… https://t.co/qa9HcV8RbX;
Tue Jan 12 21:01:00 +0000 2016;pfavero1;Potência olímpica, China vai treinar no @ClubePinheiros antes dos Jogos do @Rio2016 https://t.co/R0bPR2Ite1 #Rio2016 https://t.co/G8rRz1koyz;
Tue Jan 12 21:00:34 +0000 2016;fraja8;Deu no NY TIMES ... Vale a pena conferir a matéria completa: … #meninadeouro #Rio2016 #institutoreação #nytimes https://t.co/ue0FGFr5xa;
Tue Jan 12 20:58:03 +0000 2016;PassageiroRJ;#ViolênciaRJ na #CidadeOlímpica: Tiroteio atinge ônibus e deixa feridos no #Rio2016.

https://t.co/XEO97fUoXA https://t.co/qKGEOfS76j;
Tue Jan 12 20:57:46 +0000 2016;c_best01;RT @Rio2016: Quer ver os Jogos mais de perto? Então segue a gente no #Snapchat: rio2016 https://t.co/FxuursA63v;
