/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
Sun Jan 10 18:13:38 +0000 2016;saogoncalo_RJ;RT @Rio2016: 69 anos e dez participações em Jogos Olímpicos! Mas, quem disse que ele vai parar? 😱😎 https://t.co/CtBfp5EGfm https://t.co/qlF…;
Sun Jan 10 18:10:17 +0000 2016;basiliorn;RT @Rio2016: 69 anos e dez participações em Jogos Olímpicos! Mas, quem disse que ele vai parar? 😱😎 https://t.co/CtBfp5EGfm https://t.co/qlF…;
Sun Jan 10 18:03:01 +0000 2016;ArturFDiaz;Curtir uma praia de leve.. #Rio2016;
Sun Jan 10 18:02:52 +0000 2016;Insndsn;RT @Rio2016: O espírito Olímpico está na moda: https://t.co/f7FGEzE50m https://t.co/lSljFc0OaX;
Sun Jan 10 18:02:14 +0000 2016;oblogantenados;Vem Verão: Rio tem sensação térmica de 43,7°C e praias ficam lotadas https://t.co/uqHcep1pvf #Verano2016 #Rio2016 https://t.co/eS56asBR9O;
Sun Jan 10 18:01:21 +0000 2016;LyleRYoung;https://t.co/Psr6fmCF4x Espero que #RafaelaSilva faça muito bem no #Rio. #Rio2016.;
Sun Jan 10 17:58:32 +0000 2016;MuriloEndres8;RT @jaquelinevolei: Primeiro jogo do ano!!! Vamos torcer🤗🍀 #2016 #volei #Rio2016 #AnoOlimpico #Deusnocomando #Sesi https://t.co/7fHc8PXXul;
Sun Jan 10 17:57:11 +0000 2016;anxo_caido;#FRAvRUS: 1-3 (25-14/16-25/23-25/21-25). Os rusos van directamente a #Rio2016. Francia a Xapón na procura dunha praza. #RoadToRio.;
Sun Jan 10 17:56:57 +0000 2016;joaovitocastro8;RT @saidaderede: Brasil, EUA, Itália, Argentina e Rússia estão classificados pro torneio olímpico masculino do #Rio2016;
Sun Jan 10 17:56:35 +0000 2016;ray_csl;RT @saidaderede: Brasil, EUA, Itália, Argentina e Rússia estão classificados pro torneio olímpico masculino do #Rio2016;
Sun Jan 10 17:54:32 +0000 2016;BekaLNM;RT @saidaderede: Brasil, EUA, Itália, Argentina e Rússia estão classificados pro torneio olímpico masculino do #Rio2016;
Sun Jan 10 17:50:35 +0000 2016;tcg277;RT @SurtoOlimpico: A Rússia derrota a França por 3-1 no Pré Olímpico da Europa de Vôlei Masculino e garante vaga no @Rio2016.;
Sun Jan 10 17:50:32 +0000 2016;eggroldaoo;RT @SurtoOlimpico: A Rússia derrota a França por 3-1 no Pré Olímpico da Europa de Vôlei Masculino e garante vaga no @Rio2016.;
Sun Jan 10 17:50:21 +0000 2016;Lukas_Almeida12;Ngapeth hj quis dá chance p outros kkk, mas continua sendo rei do vôlei e vem sim pro @Rio2016;
Sun Jan 10 17:49:29 +0000 2016;RicardoRilley86;RT @saidaderede: Brasil, EUA, Itália, Argentina e Rússia estão classificados pro torneio olímpico masculino do #Rio2016;
Sun Jan 10 17:49:13 +0000 2016;AndrusVolei5;RT @saidaderede: Brasil, EUA, Itália, Argentina e Rússia estão classificados pro torneio olímpico masculino do #Rio2016;
Sun Jan 10 17:48:53 +0000 2016;saidaderede;Brasil, EUA, Itália, Argentina e Rússia estão classificados pro torneio olímpico masculino do #Rio2016;
Sun Jan 10 17:48:33 +0000 2016;digao_rodrigues;Rússia classificada no masculino e no feminino pras olimpíadas #Rio2016;
Sun Jan 10 17:48:30 +0000 2016;rudiellemendes5;RT @SurtoOlimpico: A Rússia derrota a França por 3-1 no Pré Olímpico da Europa de Vôlei Masculino e garante vaga no @Rio2016.;
