/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
date = Thu Dec 31 22:35:13 +0000 2015| user = UmBrasildeTds| text = @dilmabr @Rio2016 também teremos recessão e passaremos "aperto" em nossas necessidades básicas como saúde, educação e alimentação.
date = Thu Dec 31 22:33:17 +0000 2015| user = Juliopcrsilva| text = RT @Ligialisarojo: Messi deverá ficar fora da Olimpíada de 2016, diz técnico da Argentina https://t.co/J3SFzObOJx via @UOLEsporte #Rio2016
date = Thu Dec 31 22:32:12 +0000 2015| user = dcattani| text = @dilmabr @Rio2016 Coitado do dinheiro publico!
date = Thu Dec 31 22:32:10 +0000 2015| user = JohnDominguess| text = Lá vem @Rio2016
#Feliz2016 
#Jesus https://t.co/touDkUouBx
date = Thu Dec 31 22:31:15 +0000 2015| user = AmacenoA| text = RT @dilmabr: 2016 será um ano importante p/ o Brasil. Receberemos gente de todo o mundo p/ os Jogos @Rio2016 #SomosTodosBrasil
date = Thu Dec 31 22:30:26 +0000 2015| user = yfernandes205| text = @dilmabr @Rio2016 vai tomar no cu você e essa porra de olimpíadas sua filha da puta
date = Thu Dec 31 22:30:10 +0000 2015| user = acscarlos| text = @dilmabr @Rio2016 The Economist: Os políticos brasileiros so pensão no próprio bolso não estão nem ai com a economia do Brasil.
date = Thu Dec 31 22:29:25 +0000 2015| user = RafaelJaburu| text = RT @dilmabr: 2016 será um ano importante p/ o Brasil. Receberemos gente de todo o mundo p/ os Jogos @Rio2016 #SomosTodosBrasil
date = Thu Dec 31 22:29:18 +0000 2015| user = mdsouza25| text = Ainda bem que moro em Copacabana. #FelizAnoNovo #HappyNewYear  #Rio2016 #esperança #diasmelhores  #QueVenha2016
date = Thu Dec 31 22:28:31 +0000 2015| user = HRodrigues91| text = Férias...? PODE VIR 2016!!! 󾟞🏻😎󾭞🏻🏋🏻 #sovai #rio2016 #top #shredded #fit #fitcouple #4L #henriquerodrigues... https://t.co/foNNnaK8J3
date = Thu Dec 31 22:27:33 +0000 2015| user = GuiLove9| text = @dilmabr @Rio2016 espero que 2016 seja maravilhoso, menos pra você sua baile de favela
date = Thu Dec 31 22:27:32 +0000 2015| user = JP_ELELIOM| text = RT @marcelo_naddeo: @dilmabr @Rio2016 VTNC!!! Como vc se atreve a falar das Olimpiadas ?? Saúde um CAOS NO RJ!! Tem $ p/ os jogos e falta p…
date = Thu Dec 31 22:27:30 +0000 2015| user = PTolmasquim| text = Que venham as Olimpíadas e Paralimpíadas e seja um sucesso! ! @Rio2016  https://t.co/ydfItrZskQ
