/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
⚠✅ Jogos #Rio2016 serão realizados com total atenção à saúde, diz... https://t.co/UZ92gJowJO;
Fri Feb 05 23:02:15 +0000 2016;wielewski_13;RT @portalbrasil: ⚠✅ Jogos #Rio2016 serão realizados com total atenção à saúde, diz ministro do @minesporte. https://t.co/APEn32yhe7;
Fri Feb 05 23:01:24 +0000 2016;VoozBrasil;Tiro com arco quer medalha inédita nos Jogos Rio 2016 https://t.co/lFeEjVYYzu #Vooz #TiroComArco #Rio2016;
Fri Feb 05 23:00:52 +0000 2016;Espiritualista1;Finalmente alguém teve a coragem de dizer o óbvio... Forbes pede o cancelamento da #rio2016 por causa do #zika. https://t.co/oxi56ITLmW;
Fri Feb 05 22:49:08 +0000 2016;aresfip;@ maicondallia:camisola  protetora pro Zika virus com ela sua saúde  vive em dia euagaranchu hahaha #rio2016 #olimp… https://t.co/nMSwySvKc8;
Fri Feb 05 22:39:53 +0000 2016;jctm1;Atletas pesam ambição olímpica contra temor do Zika na Rio 2016 https://t.co/L2bWAjH4xp  #Rio2016  
tem gente desistindo de vir competir?;
Fri Feb 05 22:39:37 +0000 2016;AoDiaBrasil;#Brasil #Rio2016 Fabiana Murer fica em segundo em competição dentro de shopping na Alemanha  #Br   https://t.co/3MnrDfn38x;
Fri Feb 05 22:39:37 +0000 2016;iDisplaySports;#Brasil #Rio2016 Fabiana Murer fica em segundo em competição dentro de shopping na Alemanha  #Br   https://t.co/swNKYnvkK5;
Fri Feb 05 22:39:37 +0000 2016;AoDiaBrasil;#Brasil #Rio2016 Atletas pesam ambição olímpica contra temor do Zika na Rio 2016  #Br   https://t.co/3MnrDfn38x;
Fri Feb 05 22:39:37 +0000 2016;iDisplaySports;#Brasil #Rio2016 Atletas pesam ambição olímpica contra temor do Zika na Rio 2016  #Br   https://t.co/swNKYnvkK5;
Fri Feb 05 22:31:39 +0000 2016;sara_schneider;RT @JogosOlimpicos: Gabby Douglas já está no clima dos Jogos #Rio2016! #Faltam6Meses #RoadToRio 💚💛 https://t.co/5kqGVQ8SzX;
Fri Feb 05 22:28:50 +0000 2016;lima_jt;vamos fazer bonto https://t.co/PbMk1d4YuQ via @UOLEsporte #Rio2016;
Fri Feb 05 22:26:49 +0000 2016;V__de__Vinganca;@EstadaoEsporte @Rio2016 @Estadao Pede pro Bumlai, pra OAS, pra Odebrecht, tanta alma honesta que poderia ajudar, não é?;
Fri Feb 05 22:22:31 +0000 2016;GabrielGerberof;RT @ClaroSports: #MéxicoOlímpico ¿Sabes esto► https://t.co/i0y1vIxFHm de la taekwondoín mexicana @mariespinozatkd ? @rio2016_es https://t.c…;
Fri Feb 05 22:17:37 +0000 2016;Alinerkist;RT @gazetadopovo: A seis meses da #Rio2016, cidade tem a cara dos Jogos, mas ainda enfrenta problemas https://t.co/GjPTiAzOaq https://t.co/…;
Fri Feb 05 22:04:18 +0000 2016;elancheyta;RT @ClaroSports: #MéxicoOlímpico ¿Sabes esto► https://t.co/i0y1vIxFHm de la taekwondoín mexicana @mariespinozatkd ? @rio2016_es https://t.c…;
Fri Feb 05 22:00:01 +0000 2016;CiscoDoBrasil;“Hoje marca exatamente 6 meses até a abertura dos Jogos Rio 2016. A Cisco está pronta. E você?” #TeamCisco #Rio2016 https://t.co/Hqktp5NgJD;
Fri Feb 05 21:52:31 +0000 2016;martinchab1997;RT @Rio2016: “ka-ra-ka”, o carioquês é muito “ee-ra-doo”. Espalhe, mas sem “ka-oh #DicionárioCarioquês https://t.co/UdW98W6uge https://t.co…;
Fri Feb 05 21:52:23 +0000 2016;LouBoo_;Sou #VoluntárioRio2016! Veja se você também é em https://t.co/RZJXjj7Jjh;
Fri Feb 05 21:49:08 +0000 2016;CleberSRN;Boa sorte ao @UniCEUB_BRB pela #LDA2016! @Ligamericas É o país da @Rio2016;
Fri Feb 05 21:47:49 +0000 2016;Round_Trip_Tur;RT @JogosOlimpicos: Gabby Douglas já está no clima dos Jogos #Rio2016! #Faltam6Meses #RoadToRio 💚💛 https://t.co/5kqGVQ8SzX;
Fri Feb 05 21:47:49 +0000 2016;Ligamericas;RT @CleberSRN: @gutonejaim Preparado para voltar a voz na #LDA2016? É o país da @Rio2016 @Ligamericas @SporTV Boa transmissão! Abs;
Fri Feb 05 21:43:00 +0000 2016;CleberSRN;@gutonejaim Preparado para voltar a voz na #LDA2016? É o país da @Rio2016 @Ligamericas @SporTV Boa transmissão/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
! Abs;
Fri Feb 05 21:40:13 +0000 2016;juanyarza;RT @JogosOlimpicos: Gabby Douglas já está no clima dos Jogos #Rio2016! #Faltam6Meses #RoadToRio 💚💛 https://t.co/5kqGVQ8SzX;
Fri Feb 05 21:40:06 +0000 2016;JogosOlimpicos;Gabby Douglas já está no clima dos Jogos #Rio2016! #Faltam6Meses #RoadToRio 💚💛 https://t.co/5kqGVQ8SzX;
Fri Feb 05 21:37:12 +0000 2016;morangocomchan;RT @bbcbrasil: Na #Rio2016, Brasil enfrenta desafio de ser anfitrião que não decepciona em medalhas https://t.co/NEXvOYzEYJ https://t.co/Vm…;
Fri Feb 05 21:32:06 +0000 2016;isidrommoreno86;RT @eSPortenaglobo_: #NOAR com @marcelonarrador e @rprates_globo. Aniversário de #shakira na playlist, fut internacional e #Rio2016  em htt…;
Fri Feb 05 21:26:00 +0000 2016;SpaceToday1;RT @bbcbrasil: Na #Rio2016, Brasil enfrenta desafio de ser anfitrião que não decepciona em medalhas https://t.co/NEXvOYzEYJ https://t.co/Vm…;
Fri Feb 05 21:25:29 +0000 2016;presprudente;RT @bbcbrasil: Na #Rio2016, Brasil enfrenta desafio de ser anfitrião que não decepciona em medalhas https://t.co/NEXvOYzEYJ https://t.co/Vm…;
Fri Feb 05 21:15:09 +0000 2016;bbcbrasil;Na #Rio2016, Brasil enfrenta desafio de ser anfitrião que não decepciona em medalhas https://t.co/NEXvOYzEYJ https://t.co/VmEJpos43T;
Fri Feb 05 21:00:42 +0000 2016;Laurafwx;A abertura da #paralimpiadas acontece no feriado de 7 de setembro. #Rio2016;
Fri Feb 05 20:59:05 +0000 2016;LifeStyleENV;Encontre sua hospedagem para os Jogos Olímpicos e paralímpicos Rio 2016 https://t.co/M39DWJSPBN #Rio2016 #EmbarqueNaViagem;
Fri Feb 05 20:59:05 +0000 2016;Embarque;Encontre sua hospedagem para os Jogos Olímpicos e paralímpicos Rio 2016 https://t.co/GFFG5sbgP0 #Rio2016 #EmbarqueNaViagem;
Fri Feb 05 20:56:49 +0000 2016;josefinaallend9;RT @JogosOlimpicos: Estamos chegando! Faltam seis meses para os Jogos @Rio2016! #RoadToRio ⚽🏊🏇🚴⛳🎾🏀🎯💛💚🌞 https://t.co/1YjSDvaDL0;
Fri Feb 05 20:55:39 +0000 2016;leandrosousa18;Sou #VoluntárioRio2016! Veja se você também é em https://t.co/i3upsyHLkN;
