/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
date = Sun Jan 31 20:45:00 +0000 2016| user = DUARTEPHILIPE| text = Sou #VoluntárioRio2016! Veja se você também é em https://t.co/WHkxJJbQgj https://t.co/yFRJuKmtUL
date = Sun Jan 31 20:40:46 +0000 2016| user = benjaminpv| text = RT @Rio2016: 🎊🎉 E os nossos Jogos entraram no clima de #Carnaval com a maravilhosa Preta Gil (@pretagil) no #BlocodaPreta2016 🎊🎉 https://t.…
date = Sun Jan 31 20:36:20 +0000 2016| user = kennybrown1961| text = RT @Brasil2016: .@Rio2016 muda data de evento-teste de ciclismo de pista de março para abril. https://t.co/V4H8mjtb7y https://t.co/mmd942tZ…
date = Sun Jan 31 20:35:37 +0000 2016| user = Luzasilveira| text = RT @Rio2016: 🎊🎉 E os nossos Jogos entraram no clima de #Carnaval com a maravilhosa Preta Gil (@pretagil) no #BlocodaPreta2016 🎊🎉 https://t.…
date = Sun Jan 31 20:34:59 +0000 2016| user = ElbrusRED| text = RT @Rio2016: 🎊🎉 E os nossos Jogos entraram no clima de #Carnaval com a maravilhosa Preta Gil (@pretagil) no #BlocodaPreta2016 🎊🎉 https://t.…
date = Sun Jan 31 20:33:27 +0000 2016| user = JogosOlimpicos| text = RT @Rio2016: 🎊🎉 E os nossos Jogos entraram no clima de #Carnaval com a maravilhosa Preta Gil (@pretagil) no #BlocodaPreta2016 🎊🎉 https://t.…
date = Sun Jan 31 20:32:18 +0000 2016| user = abascal2| text = RT @Rio2016: 🎊🎉 E os nossos Jogos entraram no clima de #Carnaval com a maravilhosa Preta Gil (@pretagil) no #BlocodaPreta2016 🎊🎉 https://t.…
date = Sun Jan 31 20:30:59 +0000 2016| user = MARCOSJORGE10| text = RT @minesporte: Sec. @MarcosJorge10 fala da importância dos investimentos do @minesporte na preparação do país para o #Rio2016. https://t.c…
date = Sun Jan 31 20:30:37 +0000 2016| user = vaniacury| text = RT @Rio2016: 🎊🎉 E os nossos Jogos entraram no clima de #Carnaval com a maravilhosa Preta Gil (@pretagil) no #BlocodaPreta2016 🎊🎉 https://t.…
date = Sun Jan 31 20:30:30 +0000 2016| user = FERNANDAFELIRA| text = RT @Rio2016: 🎊🎉 E os nossos Jogos entraram no clima de #Carnaval com a maravilhosa Preta Gil (@pretagil) no #BlocodaPreta2016 🎊🎉 https://t.…
date = Sun Jan 31 20:28:43 +0000 2016| user = BrasilMasFutbol| text = RT @Rio2016: 🎊🎉 E os nossos Jogos entraram no clima de #Carnaval com a maravilhosa Preta Gil (@pretagil) no #BlocodaPreta2016 🎊🎉 https://t.…
date = Sun Jan 31 20:27:01 +0000 2016| user = GolpeNuncaMais| text = RT @Rio2016: 🎊🎉 E os nossos Jogos entraram no clima de #Carnaval com a maravilhosa Preta Gil (@pretagil) no #BlocodaPreta2016 🎊🎉 https://t.…
date = Sun Jan 31 20:26:59 +0000 2016| user = Enkurss| text = RT @Rio2016: 🎊🎉 E os nossos Jogos entraram no clima de #Carnaval com a maravilhosa Preta Gil (@pretagil) no #BlocodaPreta2016 🎊🎉 https://t.…
date = Sun Jan 31 20:26:44 +0000 2016| user = Fidelis_vp| text = RT @Rio2016: 🎊🎉 E os nossos Jogos entraram no clima de #Carnaval com a maravilhosa Preta Gil (@pretagil) no #BlocodaPreta2016 🎊🎉 https://t.…
date = Sun Jan 31 20:26:36 +0000 2016| user = ArajoDarcy| text = RT @Rio2016: 🎊🎉 E os nossos Jogos entraram no clima de #Carnaval com a maravilhosa Preta Gil (@pretagil) no #BlocodaPreta2016 🎊🎉 https://t.…
date = Sun Jan 31 20:26:21 +0000 2016| user = Rio2016| text = 🎊🎉 E os nossos Jogos entraram no clima de #Carnaval com a maravilhosa Preta Gil (@pretagil) no #BlocodaPreta2016 🎊🎉 https://t.co/QJyG5xaQyG
date = Sun Jan 31 20:07:00 /usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
+0000 2016| user = marcelonarrador| text = RT @alem_do_futebol: Handebol Masculino, Campeonato Europeu na Polônia, decisão do título e da vaga pra @Rio2016, Alemanha 24x17 Espanha #e…
date = Sun Jan 31 20:06:16 +0000 2016| user = romanoolimpico| text = RT @alem_do_futebol: Handebol Masculino, Campeonato Europeu na Polônia, decisão do título e da vaga pra @Rio2016, Alemanha 24x17 Espanha #e…
date = Sun Jan 31 20:01:16 +0000 2016| user = TrouxaPela1D_| text = RT @viciadaemlarry: Gostaria de pedir a banda One Direction p os Jogos Olímpicos do Rio! @Rio2016 
#HistoryProject
date = Sun Jan 31 19:57:42 +0000 2016| user = naldasouza| text = Vamos lá! https://t.co/oOh1k6xqQI
date = Sun Jan 31 19:56:42 +0000 2016| user = ThaySancler| text = RT @viciadaemlarry: Gostaria de pedir a banda One Direction p os Jogos Olímpicos do Rio! @Rio2016 
#HistoryProject
date = Sun Jan 31 19:55:06 +0000 2016| user = Edu_Sotos| text = Zika: A doença que pode tornar o sonho do #Rio2016 em pesadelo #Brasil #Zika #Rousseff  https://t.co/Ka2xGUUHaO via @elperiodico
date = Sun Jan 31 19:54:49 +0000 2016| user = xcute1d| text = RT @viciadaemlarry: Gostaria de pedir a banda One Direction p os Jogos Olímpicos do Rio! @Rio2016 
#HistoryProject
date = Sun Jan 31 19:52:46 +0000 2016| user = HazzaStyles01| text = RT @viciadaemlarry: Gostaria de pedir a banda One Direction p os Jogos Olímpicos do Rio! @Rio2016 
#HistoryProject
