/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
Sun Mar 27 02:59:49 +0000 2016;viniquihto;Ousada, espero q fique muito booooom! 
#natorcida https://t.co/H6r8H82yiR;
Sat Mar 26 23:19:40 +0000 2016;anittafetus;RT @Rio2016: “Show das poderosas”, da @Anitta, vai ser a trilha sonora de Daniele Hipolyto no #Ri/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
o2016: https://t.co/3BOxoHuz3E https://t.c…;
Sat Mar 26 23:19:28 +0000 2016;micah_micaele;RT @Rio2016: “Show das poderosas”, da @Anitta, vai ser a trilha sonora de Daniele Hipolyto no #Rio2016: https://t.co/3BOxoHuz3E https://t.c…;
Sat Mar 26 23:18:22 +0000 2016;suelyangell;Ja amo, agora pronto 😍 https://t.co/a5URM5yPsr;
Sat Mar 26 23:17:50 +0000 2016;nayanacordeiro;RT @Rio2016: “Show das poderosas”, da @Anitta, vai ser a trilha sonora de Daniele Hipolyto no #Rio2016: https://t.co/3BOxoHuz3E https://t.c…;
Sat Mar 26 23:15:38 +0000 2016;loscarjean;RT @Rio2016: “Show das poderosas”, da @Anitta, vai ser a trilha sonora de Daniele Hipolyto no #Rio2016: https://t.co/3BOxoHuz3E https://t.c…;
Sat Mar 26 23:15:18 +0000 2016;anittasdv;RT @Rio2016: “Show das poderosas”, da @Anitta, vai ser a trilha sonora de Daniele Hipolyto no #Rio2016: https://t.co/3BOxoHuz3E https://t.c…;
Sat Mar 26 23:13:29 +0000 2016;Bybywc;RT @Rio2016: “Show das poderosas”, da @Anitta, vai ser a trilha sonora de Daniele Hipolyto no #Rio2016: https://t.co/3BOxoHuz3E https://t.c…;
Sat Mar 26 23:12:16 +0000 2016;AndressaAnitter;RT @Rio2016: “Show das poderosas”, da @Anitta, vai ser a trilha sonora de Daniele Hipolyto no #Rio2016: https://t.co/3BOxoHuz3E https://t.c…;
Sat Mar 26 23:11:59 +0000 2016;Bashore101;RT @Rio2016: “Show das poderosas”, da @Anitta, vai ser a trilha sonora de Daniele Hipolyto no #Rio2016: https://t.co/3BOxoHuz3E https://t.c…;
Sat Mar 26 23:11:44 +0000 2016;exercitoodaani;RT @Rio2016: “Show das poderosas”, da @Anitta, vai ser a trilha sonora de Daniele Hipolyto no #Rio2016: https://t.co/3BOxoHuz3E https://t.c…;
Sat Mar 26 23:11:00 +0000 2016;lipin_cardoso;RT @Rio2016: “Show das poderosas”, da @Anitta, vai ser a trilha sonora de Daniele Hipolyto no #Rio2016: https://t.co/3BOxoHuz3E https://t.c…;
Sat Mar 26 23:10:15 +0000 2016;Lu_Gomes_Reis;@zoanitta olha aí amigaaaaa 😂😂😂❤❤❤ https://t.co/6MEOAUU2Uo;
Sat Mar 26 23:09:38 +0000 2016;Natallie_naty;RT @Rio2016: “Show das poderosas”, da @Anitta, vai ser a trilha sonora de Daniele Hipolyto no #Rio2016: https://t.co/3BOxoHuz3E https://t.c…;
Sat Mar 26 23:09:13 +0000 2016;JOSEFORTALEZA1;vai ser massa entao
 https://t.co/SWhaxA0odv;
Sat Mar 26 23:08:35 +0000 2016;BrazAlmeida;Atacante dos EUA é eleita a atleta mais sexy do mundo pela Victoria Secret https://t.co/3Ci6Q0SHof via @UOLEsporte #Rio2016;
Sat Mar 26 23:08:31 +0000 2016;dudinhaaaa2;RT @Rio2016: “Show das poderosas”, da @Anitta, vai ser a trilha sonora de Daniele Hipolyto no #Rio2016: https://t.co/3BOxoHuz3E https://t.c…;
Sat Mar 26 23:08:11 +0000 2016;twoziegler;RT @Rio2016: “Show das poderosas”, da @Anitta, vai ser a trilha sonora de Daniele Hipolyto no #Rio2016: https://t.co/3BOxoHuz3E https://t.c…;
Sat Mar 26 23:08:04 +0000 2016;apegodaAninha;RT @Rio2016: “Show das poderosas”, da @Anitta, vai ser a trilha sonora de Daniele Hipolyto no #Rio2016: https://t.co/3BOxoHuz3E https://t.c…;
Sat Mar 26 23:07:44 +0000 2016;phllpmr;RT @Rio2016: “Show das poderosas”, da @Anitta, vai ser a trilha sonora de Daniele Hipolyto no #Rio2016: https://t.co/3BOxoHuz3E https://t.c…;
Sat Mar 26 23:07:27 +0000 2016;Anitandous;@Rio2016 @Anitta. Sendo famosa mais uma vez❤Lacreeeh;
Sat Mar 26 23:07:25 +0000 2016;amazinganitta;RT @Rio2016: “Show das poderosas”, da @Anitta, vai ser a trilha sonora de Daniele Hipolyto no #Rio2016: https://t.co/3BOxoHuz3E https://t.c…;
Sat Mar 26 23:07:14 +0000 2016;Anitters21;RT @Rio2016: “Show das poderosas”, da @Anitta, vai ser a trilha sonora de Daniele Hipolyto no #Rio2016: https://t.co/3BOxoHuz3E https://t.c…;
Sat Mar 26 23:07:07 +0000 2016;DeivsonPrescovy;@Rio2016 Com tanta música boa, só tinha essa? Péssima escolha, na minha opinião.;
Sat Mar 26 23:05:57 +0000 2016;alefext;QUE BAFO! https://t.co/z1jWKsFvn9;
Sat Mar 26 23:05:53 +0000 2016;RayaneMeninea;@Rio2016 @Anitta rainha mesmoo ❤😍;
Sat Mar 26 23:05:38 +0000 2016;dearbobb;RT @Rio2016: “Show das poderosas”, da @Anitta, vai ser a trilha sonora de Daniele Hipolyto no #Rio2016: https://t.co/3BOxoHuz3E https://t.c…;
Sat Mar 26 23:05:32 +0000 2016;euleleticia_;RT @Rio2016: “Show das poderosas”, da @Anitta, vai ser a trilha sonora de Daniele Hipolyto no #Rio2016: https://t.co/3BOxoHuz3E https://t.c…;
Sat Mar 26 23:05:23 +0000 2016;helenbapemoraes;RT @Rio2016: “Show das poderosas”, da @Anitta, vai ser a trilha sonora de Daniele Hipolyto no #Rio2016: https://t.co/3BOxoHuz3E https://t.c…;
Sat Mar 26 23:04:54 +0000 2016;celinecampos;RT @Rio2016: “Show das poderosas”, da @Anitta, vai ser a trilha sonora de Daniele Hipolyto no #Rio2016: https://t.co/3BOxoHuz3E https://t.c…;
Sat Mar 26 23:04:42 +0000 2016;GiuliaPimentel4;RT @Rio2016: “Show das poderosas”, da @Anitta, vai ser a trilha sonora de Daniele Hipolyto no #Rio2016: https://t.co/3BOxoHuz3E https://t.c…;
Sat Mar 26 23:04:28 +0000 2016;victorsvjpa;@Rio2016 @Anitta muito legal;
