/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
Fri Mar 25 20:00:57 +0000 2016;mariabuleggon;RT @ditonobar: É com grande satisfação que comunico aos amigos que estarei nas olimpíadas RIO2016 https://t.co/zqRGzQsL44;
Fri Mar 25 19:59:12 +0000 2016;ditonobar;É com grande satisfação que comunico aos amigos que estarei nas olimpíadas RIO2016 https://t.co/zqRGzQsL44;
Fri Mar 25 19:54:59 +0000 2016;triily_com;RT @WeBringYouHome: 36 Hours in Paradise aka Rio de Janeiro. #travel #Paradise #Rio2016  https://t.co/QwmOPen0lm;
Fri Mar 25 19:52:04 +0000 2016;WeBringYouHome;36 Hours in Paradise aka Rio de Janeiro. #travel #Paradise #Rio2016  https://t.co/QwmOPen0lm;
Fri Mar 25 19:50:56 +0000 2016;neywilson;Muito trabalho ainda... Rumo @Rio2016  https://t.co/PX6WIBBPjc;
Fri Mar 25 19:49:44 +0000 2016;urubugonzales;RT @Rio2016: #JogosParalímpicos: não dá pra explicar, #TemQueIr https://t.co/9sFfb3eeuX;
Fri Mar 25 19:45:29 +0000 2016;neywilson;A caminho @Rio2016  https://t.co/QmaGNUIucq;
Fri Mar 25 19:30:47 +0000 2016;EmbaixadaEUA;Não perca #entrevista com @AriSimmons e @lweisellisweiss, do @TeamUSA! Aprenda + sb #esgrima https://t.co/TSqWWM8G7j #Rio2016 #USinRio;
Fri Mar 25 19:29:35 +0000 2016;johnvolkers;RT @Rio2016: Garanta seu ingresso para o @AqueceRio: https://t.co/FWqLWbkOTk https://t.co/elT03ISxBv;
Fri Mar 25 19:26:32 +0000 2016;EliveltonMont;Em Portel no Pará curtindo o feriado assistindo golfe. Estarei no Rio2016. ⛳ #espntemgolfe;
Fri Mar 25 19:23:45 +0000 2016;janesribeiro;RT @radiobandnewsfm: Craque do New Orleans Pelicans, time da @NBA, Anthony Davis, passou por cirurgia no joelho esquerdo e deve ficar fora …;
Fri Mar 25 19:23:30 +0000 2016;jsmithklimber;RT @radiobandnewsfm: Craque do New Orleans Pelicans, time da @NBA, Anthony Davis, passou por cirurgia no joelho esquerdo e deve ficar fora …;
Fri Mar 25 19:23:17 +0000 2016;brenobarros;@RicardoLeyser @romanoolimpico ela tem tudo p/ ser o grande nome da ginástica feminina no #Rio2016;
Fri Mar 25 19:18:43 +0000 2016;radiobandnewsfm;Craque do New Orleans Pelicans, time da @NBA, Anthony Davis, passou por cirurgia no joelho esquerdo e deve ficar fora da Olimpíada #Rio2016;
Fri Mar 25 19:12:28 +0000 2016;Trechos_HeD;RT @showspelobrasil: RIO DE JANEIRO

Henrique &amp; Diego show dia 25/03/2016 
sexta, 23h00 - Tradição

https://t.c/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
o/aTrFsRm1Vd

#rio2016;
Fri Mar 25 19:07:47 +0000 2016;ArajoDarcy;RT @Rio2016: Garanta seu ingresso para o @AqueceRio: https://t.co/FWqLWbkOTk https://t.co/elT03ISxBv;
Fri Mar 25 19:07:36 +0000 2016;FapsSilva;RT @Rio2016: Garanta seu ingresso para o @AqueceRio: https://t.co/FWqLWbkOTk https://t.co/elT03ISxBv;
Fri Mar 25 19:05:20 +0000 2016;jullyyy_w;RT @Rio2016: Garanta seu ingresso para o @AqueceRio: https://t.co/FWqLWbkOTk https://t.co/elT03ISxBv;
Fri Mar 25 19:04:03 +0000 2016;julianalisboa;RT @Rio2016: Garanta seu ingresso para o @AqueceRio: https://t.co/FWqLWbkOTk https://t.co/elT03ISxBv;
Fri Mar 25 19:03:31 +0000 2016;instaipanema;Olha elaaaaaa 😂😂😂😂 veio me visitar 👊🐽🐷❤️#amigo #friend #ipanemabeach #ipanema #rj #rio2016… https://t.co/MBLH0CKLxd https://t.co/IAem5V6h8i;
Fri Mar 25 19:01:49 +0000 2016;marcos_s10;RT @Rio2016: Garanta seu ingresso para o @AqueceRio: https://t.co/FWqLWbkOTk https://t.co/elT03ISxBv;
Fri Mar 25 19:01:43 +0000 2016;CulturaBrasilVE;RT @Brasil2016: Estamos no Parque Olímpico para mostrar para vocês a vista privilegiada das instalações #Rio2016 https://t.co/meovOtFoJJ;
Fri Mar 25 19:01:28 +0000 2016;Rio2016;Garanta seu ingresso para o @AqueceRio: https://t.co/FWqLWbkOTk https://t.co/elT03ISxBv;
