/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
date = Sat Mar 05 03:09:40 +0000 2016| user = claudiabambini| text = Fofas as medalhas do #Rio2016  né?!😏😏😏 https://t.co/Kq3eezjbt6
date = Fri Mar 04 21:21:33 +0000 2016| user = standcp| text = Prazo p/ agricultores se inscreverem em projeto durantes as Olimpíadas Rio2016 foi prorrogado até 09/03. #RadarStand https://t.co/3O0AzEfmsb
date = Fri Mar 04 21:13:27 +0000 2016| user = Brasil2016| text = Trigêmeas austríacas do nado sincronizado superam trauma e comemoram vaga no #Rio2016. https://t.co/GiAcfpvLUA https://t.co/dkzPDo8BT5
date = Fri Mar 04 21:13:17 +0000 2016| user = alem_do_futebol| text = @calb995 @viniciuspvaz @Rio2016 Ah sim. A minha 'pouca esperança' é na luta livre. Na GR, aposto em 2 vagas (Eduard e Diego)
date = Fri Mar 04 21:10:30 +0000 2016| user = paladares_mundo| text = Rio 2016 inspira linha de vinhos com 'alma' Olímpica e vocação local para festejar https://t.co/fd0bqe6Ain
date = Fri Mar 04 20:58:34 +0000 2016| user = pr91_| text = @basquetebrasil @CBB_basquete @Rio2016 sem saber os classificados do pré-olímpico mundial ?
date = Fri Mar 04 20:57:20 +0000 2016| user = mehbp| text = RT @dilmabr: Parabéns, Rio de Janeiro! Hoje é aniversário da cidade maravilhosa, que acolherá os Jogos Olímpicos e Paralímpicos de 2016. #R…
date = Fri Mar 04 20:49:23 +0000 2016| user = avozdobrasil| text = Prêmio Arte Monumento Brasil 2016 contemplará 70 projetos de obras de artes visuais que celebram Jogos #Rio2016 https://t.co/u7A1AOnD8g
date = Fri Mar 04 20:45:45 +0000 2016| user = calb995| text = @alem_do_futebol @viniciuspvaz @Rio2016 talvez o cara naturazizado do Azerbaijão....
date = Fri Mar 04 20:40:10 +0000 2016| user = neymarlindu| text = RT @gabigol: Obrigado Senhor, pela oportunidade de seguir representando meu país! O sonho olímpico continua vivo! 🙏🏾🇧🇷⚽️ #Rio2016 https://t…
date = Fri Mar 04 20:37:24 +0000 2016| user = SantisResende| text = RT @gabigol: Obrigado Senhor, pela oportunidade de seguir representando meu país! O sonho olímpico continua vivo! 🙏🏾🇧🇷⚽️ #Rio2016 https://t…
date = Fri Mar 04 20:37:09 +0000 2016| user = santoxfc| text = RT @gabigol: Obrigado Senhor, pela oportunidade de seguir representando meu país! O sonho olímpico continua vivo! 🙏🏾🇧🇷⚽️ #Rio2016 https://t…
date = Fri Mar 04 20:37:00 +0000 2016| user = ColunadoLeitor| text = RT @portalbrasil: ✳ Brasil reforça nos EUA que é baixo o risco de zika na Olimpíada. @fiocruz #Rio2016 #ZikaZero https://t.co/eXGdWbktU5
date = Fri Mar 04 20:29:11 +0000 2016| user = djcall_pro| text = Parabéns ao nosso brasileirosMu/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
ndial de ciclismo de pista#RIO2016 estarei la. https://t.co/QNKisSeuhC
date = Fri Mar 04 20:24:55 +0000 2016| user = alberto_queiroz| text = RT @ViniciusRio2016: O @rio2016 vai rolar na #CidadeMaravilhosa e é em Copa que vamos ver o #VôleiDePraia, cheio de grandes atletas! 😎 http…
date = Fri Mar 04 20:23:21 +0000 2016| user = lualinda68| text = RT @basquetebrasil: O sorteio dos grupos do basquete para os Jogos Olímpicos da @Rio2016, será no dia 11 de março, às 11h30. #SomosTodosBas…
date = Fri Mar 04 20:22:58 +0000 2016| user = Vaalentina_10| text = RT @gabigol: Obrigado Senhor, pela oportunidade de seguir representando meu país! O sonho olímpico continua vivo! 🙏🏾🇧🇷⚽️ #Rio2016 https://t…
date = Fri Mar 04 20:20:23 +0000 2016| user = romanoolimpico| text = RT @alem_do_futebol: Luta, Pré-Olímpico das Américas em Frisco/USA, 1º dia, Gilda Oliveira(69kg), Lais Nunes(63kg) e Joice Silva(58kg) clas…
date = Fri Mar 04 20:16:35 +0000 2016| user = weasel_fce| text = RT @jmlpyt: Imagens de atletas brasileiros dos Jogos Olímpicos @UOLEsporte #Rio2016 https://t.co/Y7kCQQS37V https://t.co/rp2gm1cBym
