/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
Fri Mar 18 03:06:17 +0000 2016;Lyviaaramos;RT @t3ddyyyyy: sabe a tocha olimpica? então.....

VOU CARREGAR ELA NAS OLIMPÍADAS 2016 💙✨

obg @CocaCola_Br #TochaOlimpica #Rio2016 https:/…;
Fri Mar 18 01:12:33 +0000 2016;ProjetoCSworld;RT @WhoIsCarlos: GENTEE MIM SEGURA MEU CORASSAUM EU TO AHIAKSJSJS VOU CARREGAR A #TochaOlímpica #Rio2016 valeu @CocaCola_Br https://t.co/Ko…;
Fri Mar 18 01:11:23 +0000 2016;DanNegresco;Ainda muito feliz =D
Condutor da tocha olímpica Rio 2016 #IssoEOuro
@CocaCola_Br @Rio2016 @OUrsoOficial;
Fri Mar 18 01:01:39 +0000 2016;gaby_da_Fly;RT @WhoIsCarlos: GENTEE MIM SEGURA MEU CORASSAUM EU TO AHIAKSJSJS VOU CARREGAR A #TochaOlímpica #Rio2016 valeu @CocaCola_Br https://t.co/Ko…;
Fri Mar 18 00:58:11 +0000 2016;2Fall_Out;@darkbridges E vem Rio2016 por aí. Tá foda, viu?!;
Fri Mar 18 00:55:22 +0000 2016;GabrlOliveira21;RT @WhoIsCarlos: GENTEE MIM SEGURA MEU CORASSAUM EU TO AHIAKSJSJS VOU CARREGAR A #TochaOlímpica #Rio2016 valeu @CocaCola_Br https://t.co/Ko…;
Fri Mar 18 00:53:16 +0000 2016;ErikaNunes91;RT @WhoIsCarlos: GENTEE MIM SEGURA MEU CORASSAUM EU TO AHIAKSJSJS VOU CARREGAR A #TochaOlímpica #Rio2016 valeu @CocaCola_Br https://t.co/Ko…;
Fri Mar 18 00:52:14 +0000 2016;DanNegresco;@pessoawander71 @Rio2016 @Bradesco @CocaCola_Br @Nissan_Oficial eu tambem sou! Muito feliz;
Fri Mar 18 00:48:54 +0000 2016;viajarverde;RT @Rio2016: Você pode assistir um esporte à sua escolha! O primeiro passo é enviar seu vídeo pro #DesafioAbraça no nosso app! 📱 https://t.…;
Fri Mar 18 00:48:49 +0000 2016;anasofiacapi;@Rio2016 Até quando os escolhidos para condutores da tocha serão comunicados?;
Fri Mar 18 00:48:19 +0000 2016;joaomont10;RT @juliococielo: galera, eu fui selecionado pra carregar a #TochaOlimpica nas olimpíadas #Rio2016 aqui em OZ! valeu @CocaCola_Br! 😍🙌💕👏🔑;
Fri Mar 18 00:45:51 +0000 2016;SoloTigresMX;CONVOCATORIA SUB-23

NOTA: ► https://t.co/9cd2sC84cV 

#México #Sub23 #Rio2016 https://t.co/cmiGB1UDbi;
Fri Mar 18 00:44:49 +0000 2016;jujurosagouveia;RT @WhoIsCarlos: GENTEE MIM SEGURA MEU CORASSAUM EU TO AHIAKSJSJS VOU CARREGAR A #TochaOlímpica #Rio2016 valeu @CocaCola_Br https://t.co/Ko…;
Fri Mar 18 00:41:38 +0000 2016;darioalmeida;RT @guanarugby: Já saiu a tabela. Dá-lhe, Guana! #BrasilRugby #SempreRugby #GuanaTotal #SuperSevens #TotalRugbySevens #Rio2016 https://t.co…;
Fri Mar 18 00:39:41 +0000 2016;jcnovaesrio;Prefeito #Rio2016 #CidadeOlimpica faz sua estreia oficial em #HouseOfCardsBR
Veja a apresentação da série... https://t.co/autYcelH4G;
Fri Mar 18 00:35:24 +0000 2016;rugbybra_;RT @guanarugby: Já saiu a tabela. Dá-lhe, Guana! #BrasilRugby #SempreRugby #GuanaTotal #SuperSevens #TotalRugbySevens #Rio2016 https://t.co…;
Fri Mar 18 00:32:28 +0000 2016;volunta_Rio2016;Hannah 'Furacão' Cockroft tem uma razão especial para brilhar nos Jogos Paralímpicos:  https://t.co/1piQWt2aE4;
Fri Mar 18 00:32:28 +0000 2016;volunta_Rio2016;Manu Dibango aposta na 'magia' e na diversidade como diferenciais do Rio 2016:  https://t.co/UdwfzNU1CR;
Fri Mar 18 00:30:58 +0000 2016;CrisMCavalcanti;@g1 RIDÍCULO #EduardoPaes #Rio2016  merecia algo melhor ... Imagina quanto ele já levou nessas obras Olimpíadas 2016.;
Fri Mar 18 00:27:35 +0000 2016;guanarugby;Já saiu a tabela. Dá-lhe, Guana! #BrasilRugby #SempreRugby #GuanaTotal #SuperSevens #TotalRugbySevens #Rio2016 https://t.co/ULWT28dbAN;
Fri Mar 18 00:27:20 +0000 2016;igoumonteiro;RT @BethOliveira14: Crlho kkkkkkkk Rio2016  https://t.co/cK4pnqN82o;
Fri Mar 18 00:26:17 +0000 2016;JulianaEdward;RT @SODMGLucas: Quadra da escola já está pique natação, Brota #Rio2016 https://t.co/x03zjFi5MK;
Fri Mar 18 00:25:41 +0000 2016;Gut010;@Estadao jogosolimpicos olimpíadas rio2016;
Fri Mar 18 00:23:52 +0000 2016;la_bizzle1994;RT @SODMGLucas: Quadra da escola já está pique natação, Brota #Rio2016 https://t.co/x03zjFi5MK;
Fri Mar 18 00:17:51 +0000 2016;BethOliveira14;Crlho kkkkkkkk Rio2016  https://t.co/cK4pnqN82o;
Fri Mar 18 00:14:20 +0000 2016;ForaPTJa;Porque @eduardopaes_ Gov. #RJ quis derrubar, desgraçar a city #Atibaia #SP ?? #JN #Sítio #LulaMinistro #Rio2016 #LulaLadrao #LulaGrampeado;
Fri Mar 18 00:07:26 +0000 2016;pedro_jose;@Manela195 são no #Rio2016 :);
Fri Mar 18 00:06:59 +0000 2016;pedro_jose;2 milhões no #Rio2016 enchem quantos estádios?;
Fri Mar 18 00:01:23 +0000 2016;judors;A menos de 150 dias do @Rio2016, judocas medalhistas olímpicos brasileiros são homenageados https://t.co/mKLUVQv2Eq #judors;
Thu Mar 17 23:58:14 +0000 2016;FutebolEspiao;Tribunais desportivos rebatem governo por criação de órgão para julgar casos de doping no país https://t.co/0pGTAYbiAP;
Thu Mar 17 23:58:14 +0000 2016;FutebolMundial5;Tribunais desportivos rebatem governo por criação de órgão para julgar casos de doping no país:  https://t.co/KlRKjE50o4;
Thu Mar 17 23:58:12 +0000 2016;PortalEsporte10;Tribunais desportivos rebatem governo por criação de órgão para julgar casos de doping no país https://t.co/KUVk5VupYf;
Thu Mar 17 23:58:09 +0000 2016;BrunoJaquet03;Tribunais desportivos rebatem governo por criação de órgão para julgar casos de doping no país:  https://t.co/oM2rCLK8Ut;
Thu Mar 17 23:58:01 +0000 2016;EtnSabrina;Rio da desgraça!! #Rio2016 #cidadeolimpica https://t.co/2p0niVTc5r;
Thu Mar 17 23:55:13 +0000 2016;vulgocarlos;RT @WhoIsCarlos: GENTEE MIM SEGURA MEU CORASSAUM EU TO AHIAKSJSJS VOU CARREGAR A #TochaOlímpica #Rio2016 valeu @CocaCola_Br https://t.co/Ko…;
Thu Mar 17 23:45:08 +0000 2016;cidade_maravilh;RT @carlosneves1971: Relação dos deputados do #RiodeJaneiro #Rio2016 #impeachmentDilnaJa #LulaNaCadeia #lulaGolpista #RJ #brasil
https://t.…;
Thu Mar 17 23:42:00 +0000 2016;Brasil_2016News;Manu Dibango aposta na 'magia' e na diversidade como diferenciais do Rio 2016:  https://t.co/TNzaUrH2Ug;
Thu Mar 17 23:42:00 +0000 2016;Brasil_2016News;Hannah 'Furacão' Cockroft tem uma razão especial para brilhar nos Jogos Paralímpicos:  https://t.co/tb4dwEFtfD;
Thu Mar 17 23:41:01 +0000 2016;GabrielSennet;Brasil cria legislação específica para doping e garante testes na Rio-16 https://t.co/jBXVOgzrlE via @UOLEsporte #Rio2016;
Thu Mar 17 23:35:17 +0000 2016;carlosneves1971;Relação dos deputados do #RiodeJaneiro #Rio2016 #impeachmentDilnaJa #LulaNaCadeia #lulaGolpista #RJ #brasil
https://t.co/23eJDVY0wG;
Thu Mar 17 23:28:46 +0000 2016;MedinaMeqs;RT @COlimpicoPanama: ¡OFICIAL!  Comité Olímpico de Panamá confirma cupo de la taekwondista @CarolenaPanama para #Rio2016 https://t.co/j4SGQ…;
Thu Mar 17 23:28:32 +0000 2016;AmazingCentral;RT @t3ddyyyyy: sabe a tocha olimpica? então.....

VOU CARREGAR ELA NAS OLIMPÍADAS 2016 💙✨

obg @CocaCola_Br #TochaOlimpica #Rio2016 https:/…;
Thu Mar 17 23:24:30 +0000 2016;RenatoVasconc18;RT @Rio2016: Classificações #Rio2016: a disputa no #futebol! ⚽⚽https://t.co/lDa6kzVIoE https://t.co/yrmKRqO9ib;
Thu Mar 17 23:20:14 +0000 2016;Centraltres;AO VIVO! Quais as chances do futebol brasileiro na #Rio2016? O @esporte_final discute na https://t.co/j4X9CHb8hl https://t.co/uvEJ65t8hp;
Thu Mar 17 23:19:36 +0000 2016;gutocampos7;#oakley #sunglasses #holbrook #rio2016  #gouveia #maringapark #boanoite @ Maringá Park https://t.co/Y1eKnrdzQh;
Thu Mar 17 23:15:21 +0000 2016;anapaulacieba;#Rio2016 #TochaOlimpica Dia 21 de Julho de 2016 https://t.co/pWbKZoYgs2;
Thu Mar 17 23:11:51 +0000 2016;CIDADANIA_NEWS;RT @luizatrajano: E foram divulgadas as primeiras listas com os condutores da Tocha Olímpica na #Rio2016! Parabéns aos felizardos! https://…;
Thu Mar 17 23:10:53 +0000 2016;CarlosRodrig20;RT @COlimpicoPanama: ¡OFICIAL!  Comité Olímpico de Panamá confirma cupo de la taekwondista @CarolenaPanama para #Rio2016 https://t.co/j4SGQ…;
Thu Mar 17 23:10:39 +0000 2016;maranhaoneto;RT @SusiMappi: Tá complicado, @lightclientes completando 6 horas sem luz!!!!!! #LightFail #Descaso #Socorro #ErreJota #Rio2016;
Thu Mar 17 23:04:02 +0000 2016;MTargino1997;RT @FeCastanhari: Nssssss!!! Acabei de saber que fui selecionado pra carregar a #TochaOlimpica #Rio2016
VALEU!!!! @CocaCola_br 
Estou emoci…;
Thu Mar 17 23:01:31 +0000 20/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
16;vbautech;#Brasil / #Rio2016 - Vídeo comercial VISA De #atletas con #Discapacidad - O Treino que Muda Opiniões  https://t.co/OyxzFhGXLw;
Thu Mar 17 23:00:32 +0000 2016;Centraltres;AO VIVO! Futebol brasileiro na #Rio2016 é o assunto do podcast @esporte_final agora na https://t.co/j4X9CHb8hl https://t.co/0BJqrKFF9k;
Thu Mar 17 22:58:41 +0000 2016;valdeir_veloso;RT @Rio2016: Classificações #Rio2016: a disputa no #futebol! ⚽⚽https://t.co/lDa6kzVIoE https://t.co/yrmKRqO9ib;
Thu Mar 17 22:56:46 +0000 2016;millebrusa;RT @t3ddyyyyy: sabe a tocha olimpica? então.....

VOU CARREGAR ELA NAS OLIMPÍADAS 2016 💙✨

obg @CocaCola_Br #TochaOlimpica #Rio2016 https:/…;
Thu Mar 17 22:52:28 +0000 2016;Oskarguerrer;Ilha grande ❤️❤️ el paraiso #Rio2016 #riojaneiro #ilhagrande #angradorais #vacaciones https://t.co/JFHJcX85ns;
Thu Mar 17 22:50:22 +0000 2016;Oskarguerrer;Vacaciones rio janeiro ❤️ brazil 🇧🇷🇧🇷 #Rio2016 #riojaneiro https://t.co/05Ixge01u1;
Thu Mar 17 22:43:34 +0000 2016;omarcosfigueira;RT @volunta_Rio2016: Divulgadas as primeiras listas de condutores da tocha Olímpica: confira quem vai fazer história nos Jogos Rio 2016:  h…;
Thu Mar 17 22:42:48 +0000 2016;giulia_cangussu;RT @t3ddyyyyy: sabe a tocha olimpica? então.....

VOU CARREGAR ELA NAS OLIMPÍADAS 2016 💙✨

obg @CocaCola_Br #TochaOlimpica #Rio2016 https:/…;
Thu Mar 17 22:27:59 +0000 2016;luizatrajano;E foram divulgadas as primeiras listas com os condutores da Tocha Olímpica na #Rio2016! Parabéns aos felizardos! https://t.co/EjBqwmPBvB;
Thu Mar 17 22:27:27 +0000 2016;dois_min;A partir de amanhã 12 seleções femininas brigam pelas últimas vagas da #Rio2016 https://t.co/Ztd1IEIYP9 https://t.co/I4g8sPSUnx;
Thu Mar 17 22:24:39 +0000 2016;TorcidaBrasil2;E aí #Neymar? Vai jogar a #CopaAmérica ou #Rio2016? Assista a resposta. Visite nosso site https://t.co/AjiADkquFs https://t.co/cQ7IJf3bSq;
Thu Mar 17 22:23:11 +0000 2016;guanda80;RT @gfelitti: Rio rescinde contrato e abandona último legado ambiental da Olimpíada, do @UOLEsporte https://t.co/BlIvyj6BnA  #Rio2016;
