/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
Wed Mar 30 00:11:53 +0000 2016;quartogeek;Conheça a tecnologia do Rio2016! https://t.co/8yyNNE63sw (via @coxinhanerd);
Wed Mar 30 00:11:52 +0000 2016;geekconectado;Conheça a tecnologia do Rio2016! https://t.co/KZI2W6MXzi (via @CoxinhaNerd);
Wed Mar 30 00:08:24 +0000 2016;guiifavero_;Faz muito tempo que não colo no Rio, espero que as coisas continuem do mesmo jeito. Matar as saudades dessa belezura perfeita. 😍 #Rio2016;
Wed Mar 30 00:07:25 +0000 2016;Leo_Alli;RT @AnjinChatin: #TchauQuerida

Segundo o Jeferson Dilma Bolada da Pepper a xará Vana Rousseff já está procurando emprego:

#Rio2016 https:…;
Wed Mar 30 00:07:22 +0000 2016;kirstenrachel;RT @tvfloripa: Welcome Rio de Janeiro #Brazil #Rio2016 #RoadToRio #Olimpia2016 #RT @kentkristensen1 @channel100TV @tvfloripa https://t.co/S…;
Wed Mar 30 00:04:07 +0000 2016;Alan88Neiva;O Centro do RJ está um absurdo, hoje vi várias pessoas tendo que correr, desviar, sair da calçada...Tudo isso para não ser roubado. #Rio2016;
Wed Mar 30 00:03:29 +0000 2016;limax31;Vai ter evento-teste de ginástica, então vamos lembrar dessa brasileirinha incrível. @aquecerio @rio2016
https://t.co/bos69NB0ih;
Tue Mar 29 23:56:37 +0000 2016;Esportessencial;RT @soudoesporte: Cada vez mais perto! Revelação do tiro com arco brasileiro lidera seletiva olímpica: https://t.co/55531jxKGH
#Rio2016;
Tue Mar 29 23:56:02 +0000 2016;soudoesporte;Cada vez mais perto! Revelação do tiro com arco brasileiro lidera seletiva olímpica: https://t.co/55531jxKGH
#Rio2016;
Tue Mar 29 23:49:11 +0000 2016;tataina111;RT @guiifavero_: Levar as minhas primas @tataina111 e @thatais19 pra conhecer a #CidadeMaravilhosa né. Eaew, já tão preparadas? =P #Rio2016;
Tue Mar 29 23:45:41 +0000 2016;guiifavero_;Levar as minhas primas @tataina111 e @thatais19 pra conhecer a #CidadeMaravilhosa né. Eaew, já tão preparadas? =P #Rio2016;
Tue Mar 29 23:43:42 +0000 2016;diogo__liberal;RT @AfonsoF25: De volta a casa, de coração cheio! 

#Portugal #FPF #Rio2016 https://t.co/06KqfWO2Yp;
