/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
Thu Aug 04 03:08:20 +0000 2016;anahixxl;RT @anapaularenault: 🙏🏻Arrepiei toda!!! #TimeBrasil #TweetCampeao #SomosTodosOlimpicos @Brasil2016 @Rio2016 @TwitterBrasil @minesporte 🇧🇷 h…;
Thu Aug 04 03:08:18 +0000 2016;JairoBastos;Diferença entre Paris e Rio https://t.co/WIkKqYXmoK #Rio2016;
Thu Aug 04 03:08:18 +0000 2016;lufelixmakeup;RT @rosangela_bolze: ABERTURA #Olimpiadas2016 #Rio2016 
TODOS GRITANDO MORO
MOSTRAR MUNDO QUEM O BRASIL APOIA!
Impeachment
Lula Na Cadeia h…;
Thu Aug 04 03:08:17 +0000 2016;brendhalp;RT @goleada_info: E hoje é a vez dos homens! Nesta quinta-feira o Brasil estreia na #Rio2016 e vai em busca do ouro inédito! 🇧🇷🏅 https://t.…;
Thu Aug 04 03:08:17 +0000 2016;crflele;RT @velhinhofla: Se isso não é pênalti, pode levar o zagueiro pra jogar #volei na #Rio2016 Absurdo, @Flamengo! https://t.co/igrfCjxV4p;
Thu Aug 04 03:08:17 +0000 2016;Rico907;A 1 dia de #Rio2016 https://t.co/dVgeLpfC6m;
Thu Aug 04 03:08:16 +0000 2016;lellotoic;RT @goleada_info: A partir de 16h acompanhe, em tempo real, Brasil x África do Sul, estreia do futebol masculino na #Rio2016. Até! 🇧🇷🏅 http…;
Thu Aug 04 03:08:15 +0000 2016;omentor;RT @folha: Turistas suecos são rendidos e levados para favela do Rio, diz polícia https://t.co/VGW2BuF7Dm #Rio2016 https://t.co/FXX8D6AhNC;
Thu Aug 04 03:08:14 +0000 2016;SiteLF;#Futebol: Em mais uma goleada do #Rio2016, as mulheres da #FRA golearam por 4x0 a #COL encerrando o primeiro dia das Olimpíadas.;
Thu Aug 04 03:08:13 +0000 2016;MCrisLemos;RT @minsaude: #Rio2016 Confira dicas e informações de saúde para tornar sua viagem mais agradável e tranquila. #SaúdeDoViajante
https://t.c…;
Thu Aug 04 03:08:12 +0000 2016;SemensatoVittor;RT @anapaularenault: 🙏🏻Arrepiei toda!!! #TimeBrasil #TweetCampeao #SomosTodosOlimpicos @Brasil2016 @Rio2016 @TwitterBrasil @minesporte 🇧🇷 h…;
Thu Aug 04 03:08:12 +0000 2016;TayRenaultt;RT @anapaularenault: 🙏🏻Arrepiei toda!!! #TimeBrasil #TweetCampeao #SomosTodosOlimpicos @Brasil2016 @Rio2016 @TwitterBrasil @minesporte 🇧🇷 h…;
Thu Aug 04 03:08:10 +0000 2016;Tikofcz;RT @marina_estrella: Os jogos olímpicos já começaram maravilhosos com a torcida zoando a Hope Solo. Que a zoeira never ends, Brasil! #Rio20…;
Thu Aug 04 03:08:08 +0000 2016;ItsMrGilinsky;RT @ZIPERATIVO: Confira o promo de “That’s My Girl”, do Fifth Harmony, para as Olimpíadas #Rio2016 https://t.co/pTVyo4Tplt;
Thu Aug 04 03:08:08 +0000 2016;I_RespectNeymar;RT @BrazilStats2: 9, 10, 11.

Amanhã vai ter seleção! 🙏 

#BRA #Rio2016 https://t.co/NtzV6amddq;
Thu Aug 04 03:08:08 +0000 2016;jumanfrenati;RT @goleada_info: E hoje é a vez dos homens! Nesta quinta-feira o Brasil estreia na #Rio2016 e vai em busca do ouro inédito! 🇧🇷🏅 https://t.…;
Thu Aug 04 03:08:07 +0000 2016;lellotoic;RT @goleada_info: E hoje é a vez dos homens! Nesta quinta-feira o Brasil estreia na #Rio2016 e vai em busca do ouro inédito! 🇧🇷🏅 https://t.…;
Thu Aug 04 03:08:07 +0000 2016;mukecrazy;RT @anapaularenault: 🙏🏻Arrepiei toda!!! #TimeBrasil #TweetCampeao #SomosTodosOlimpicos @Brasil2016 @Rio2016 @TwitterBrasil @minesporte 🇧🇷 h…;
Thu Aug 04 03:08:07 +0000 2016;MariannaPoeta;RT @goleada_info: #Rio2016 - hoje (Fut feminino):

🇸🇪 SUE 1x0 AFS 🇿🇦
🇧🇷 BRA 3x0 CHN 🇨🇳
🇨🇦 CAN 2x0 AUS 🇦🇺
🇿🇼 ZIM 1x6 ALE 🇩🇪
🇺🇸 EUA 2x0 NZE…;
Thu Aug 04 03:08:06 +0000 2016;Tikofcz;RT @orange_4ever: Sobre a torcida vaiando a Hope Solo.. #Rio2016 https://t.co/2lhcNbvuTy;
Thu Aug 04 03:08:05 +0000 2016;Fernandaportao;RT @jaurgy: as que nao decepcionam #Rio2016 https://t.co/HZ7Uk6V9U7;
Thu Aug 04 03:08:04 +0000 2016;13_pontes;RT @obrasilonline: PSDB é caso de polícia: José Serra já começou a roubar na Rio2016. Contratou sem licitação - https://t.co/PT5zXoVFYy htt…;
Thu Aug 04 03:08:03 +0000 2016;lopoyares;RT @anapaularenault: 🙏🏻Arrepiei toda!!! #TimeBrasil #TweetCampeao #SomosTodosOlimpicos @Brasil2016 @Rio2016 @TwitterBrasil @minesporte 🇧🇷 h…;
Thu Aug 04 03:08:02 +0000 2016;sophiahuxley;RT @danielamercury: Estou cantando a música Games of Passion que será o tema das olimpíadas do Rio na Alemanha #olimpiadas2016 #rio2016 htt…;
Thu Aug 04 03:08:00 +0000 2016;DavidBeckettVT;RT @danielamercury: Estou cantando a música Games of Passion que será o tema das olimpíadas do Rio na Alemanha #olimpiadas2016 #rio2016 htt…;
Thu Aug 04 03:08:00 +0000 2016;vanessatocha;The latest Trombeta da Tocha 2 - A missão! https://t.co/C8EaSrzc3a Thanks to @RaUL_AMDERLAINE @cirohamen @Max_Laguna #rio2016;
Thu Aug 04 03:07:58 +0000 2016;FalaNilsinho;RT @goleada_info: E hoje é a vez dos homens! Nesta quinta-feira o Brasil estreia na #Rio2016 e vai em busca do ouro inédito! 🇧🇷🏅 https://t.…;
Thu Aug 04 03:07:48 +0000 2016;anapaularenault;🙏🏻Arrepiei toda!!! #TimeBrasil #TweetCampeao #SomosTodosOlimpicos @Brasil2016 @Rio2016 @TwitterBrasil @minesporte 🇧🇷 https://t.co/11eqZGraWI;
Thu Aug 04 03:07:46 +0000 2016;Tikofcz;RT @httpmatheush: A Hope Solo pega na bola e a torcida fala “ôôôôô zikaaaaaa”
MEU DEUS EU AMO MEU BRASIL EU AMO ESSE PAÍS
#RIO2016 #FUTEBOL;
Thu Aug 04 03:07:45 +0000 2016;10gonzaga;STF mantém suspensão de multa de R$ 1,5 mil nas faixas olímpicas do Rio #G1 https://t.co/jf6bVKlYva;
Thu Aug 04 03:07:45 +0000 2016;goleada_info;A partir de 16h acompanhe, em tempo real, Brasil x África do Sul, estreia do futebol masculino na #Rio2016. Até! 🇧🇷🏅 https://t.co/BMICZQUYmg;
Thu Aug 04 03:07:41 +0000 2016;Gabirusjr;Fazia exatos 120 anos que vagabundo não carregava a tocha olímpica pra capitalizar dividendos políticos... Fazia #Rio2016;
Thu Aug 04 03:07:38 +0000 2016;ohgoldstein;R/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
T @jaurgy: as que nao decepcionam #Rio2016 https://t.co/HZ7Uk6V9U7;
Thu Aug 04 03:07:37 +0000 2016;stuntsbr;Here we go again. Ainda acho q nego vai aproveitar a Rio2016 e atacar Europa/USA.... https://t.co/KFoxkQa4qO;
Thu Aug 04 03:07:37 +0000 2016;dorismac64;RT @TheBlurBarbosa: Chegamos Rio!!! 🇧🇷🏀 @rio2016 @olympics #BeepBeep #JustDoIt #Basquete https://t.co/morTuErhvB;
Thu Aug 04 03:07:35 +0000 2016;elcraig_;RT @ruthalvesmusic: Que seleção e essa? Lionel Marta, Cristiane Ronaldo, Andressinha Iniesta, Formiga Pogba, Bárbara Neuer! #Rio2016 #futeb…;
Thu Aug 04 03:07:33 +0000 2016;AquieFlamengo;RT @velhinhofla: Se isso não é pênalti, pode levar o zagueiro pra jogar #volei na #Rio2016 Absurdo, @Flamengo! https://t.co/igrfCjxV4p;
Thu Aug 04 03:07:26 +0000 2016;20_cfr;RT @velhinhofla: Se isso não é pênalti, pode levar o zagueiro pra jogar #volei na #Rio2016 Absurdo, @Flamengo! https://t.co/igrfCjxV4p;
Thu Aug 04 03:07:26 +0000 2016;vitorl;RT @folha: Criança de dez anos é ferida por bala de borracha em passagem da tocha pelo Rio https://t.co/u12DxubEHs #Rio2016 https://t.co/4h…;
Thu Aug 04 03:07:21 +0000 2016;alecsandertl;RT @goleada_info: E hoje é a vez dos homens! Nesta quinta-feira o Brasil estreia na #Rio2016 e vai em busca do ouro inédito! 🇧🇷🏅 https://t.…;
Thu Aug 04 03:07:19 +0000 2016;tonhosafadao;RT @goleada_info: E hoje é a vez dos homens! Nesta quinta-feira o Brasil estreia na #Rio2016 e vai em busca do ouro inédito! 🇧🇷🏅 https://t.…;
Thu Aug 04 03:07:06 +0000 2016;danielamercury;RT @danielamercury: Energia positiva e poderosa pra celebrar as olimpíadas do https://t.co/40eCkBOemb para os comitês olímpicos #Rio2016 ht…;
Thu Aug 04 03:07:01 +0000 2016;ScarduaGi;RT @naoprovoca: Essa goleira é minha religião 🇺🇸 #Rio2016 https://t.co/ePzbVyPjeR;
Thu Aug 04 03:06:59 +0000 2016;SamirSilva_x;RT @goleada_info: E hoje é a vez dos homens! Nesta quinta-feira o Brasil estreia na #Rio2016 e vai em busca do ouro inédito! 🇧🇷🏅 https://t.…;
Thu Aug 04 03:06:57 +0000 2016;pedrohmelo_;#Ger, #Usa e #Fra estrearam com vitória no #Rio2016 https://t.co/OsEKF8IUBk;
Thu Aug 04 03:06:55 +0000 2016;joao_dapaz;Nesta quinta-feira o Brasil estreia na #Rio2016 e vai em busca do ouro inédito! 󾓪󾓮🏅;
Thu Aug 04 03:06:54 +0000 2016;eujulioneves;RT @goleada_info: #Rio2016 - hoje (Fut feminino):

🇸🇪 SUE 1x0 AFS 🇿🇦
🇧🇷 BRA 3x0 CHN 🇨🇳
🇨🇦 CAN 2x0 AUS 🇦🇺
🇿🇼 ZIM 1x6 ALE 🇩🇪
🇺🇸 EUA 2x0 NZE…;
Thu Aug 04 03:06:52 +0000 2016;solrac_CRF;RT @velhinhofla: Se isso não é pênalti, pode levar o zagueiro pra jogar #volei na #Rio2016 Absurdo, @Flamengo! https://t.co/igrfCjxV4p;
Thu Aug 04 03:06:51 +0000 2016;JoiiceBarbosa;RT @zerohora: STF mantém decisão que impede multa não prevista em faixa exclusiva na #Rio2016 #RBSRio16 https://t.co/D2UGnwkD1I https://t.c…;
Thu Aug 04 03:06:49 +0000 2016;venxxke;É hojeeee e e e #Rio2016;
Thu Aug 04 03:06:46 +0000 2016;Leotadeutjf;RT @velhinhofla: Se isso não é pênalti, pode levar o zagueiro pra jogar #volei na #Rio2016 Absurdo, @Flamengo! https://t.co/igrfCjxV4p;
Thu Aug 04 03:06:45 +0000 2016;Raay_1910;RT @gilgil22: É possível acompanhar ao #Futebol nos Jogos Olímpicos #Rio2016 até no luxuoso Banheiro da @A_Corinthians https://t.co/xnxs2FX…;
Thu Aug 04 03:06:44 +0000 2016;Brunito_Fla;RT @velhinhofla: Se isso não é pênalti, pode levar o zagueiro pra jogar #volei na #Rio2016 Absurdo, @Flamengo! https://t.co/igrfCjxV4p;
Thu Aug 04 03:06:43 +0000 2016;Edson_Pina;"Já passou, Bruna!"

Melhor vídeo da passagem da tocha #Rio2016 #baixada 

Hahahahaha https://t.co/7bL39IH6UM;
Thu Aug 04 03:06:41 +0000 2016;danielamercury;RT @danielamercury: Estou cantando a música Games of Passion que será o tema das olimpíadas do Rio na Alemanha #olimpiadas2016 #rio2016 htt…;
Thu Aug 04 03:06:37 +0000 2016;orlandosilva;Complexo de vira-latas é o que explica o espaço que se dá no Brasil ao mi-mi-mi de alguns que reclamam do Rio2016. Serão grandes jogos!;
Thu Aug 04 03:06:35 +0000 2016;thirochas;@Rio2016 mentirosos não há ingresso de 200 para a cerimônia 
Entre 0:0:0 e não tem ingresso;
Thu Aug 04 03:06:31 +0000 2016;brunosilva2100;RT @goleada_info: #Rio2016 - hoje (Fut feminino):

🇸🇪 SUE 1x0 AFS 🇿🇦
🇧🇷 BRA 3x0 CHN 🇨🇳
🇨🇦 CAN 2x0 AUS 🇦🇺
🇿🇼 ZIM 1x6 ALE 🇩🇪
🇺🇸 EUA 2x0 NZE…;
